key_resp_1.keys, key_resp_1.rt, response.keys, response.corr, response.rt, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, trials.ran, trials.order, words, number_of_letters, corrAns, participant, session, date, expName, psychopyVersion, frameRate
space, 8.696, right, 1, 2.7780000000000022, 1, 0, 80, 48, 1, 79, believe, 7, right, 222, 001, 2021-09-16_13h28.51.771, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.0509999999999984, 1, 0, 80, 52, 1, 79, remember, 8, right, 222, 001, 2021-09-16_13h28.51.771, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.600999999999999, 1, 0, 80, 12, 1, 79, much, 4, right, 222, 001, 2021-09-16_13h28.51.771, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.5839999999999996, 1, 0, 80, 5, 1, 79, neu, 3, left, 222, 001, 2021-09-16_13h28.51.771, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 0, 1.9989999999999988, 1, 0, 80, 9, 1, 79, ous, 3, left, 222, 001, 2021-09-16_13h28.51.771, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 0, 1.5160000000000018, 1, 0, 80, 8, 1, 79, out, 3, right, 222, 001, 2021-09-16_13h28.51.771, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.649000000000001, 1, 0, 80, 76, 1, 79, technology, 10, right, 222, 001, 2021-09-16_13h28.51.771, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.5670000000000002, 1, 0, 80, 45, 1, 79, bedween, 7, left, 222, 001, 2021-09-16_13h28.51.771, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.5680000000000014, 1, 0, 80, 26, 1, 79, which, 5, right, 222, 001, 2021-09-16_13h28.51.771, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 0, 2.5, 1, 0, 80, 62, 1, 79, important, 9, right, 222, 001, 2021-09-16_13h28.51.771, lexical_decision_task, 3.0.0b12, 60
