key_resp_1.keys, key_resp_1.rt, response.keys, response.corr, response.rt, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, trials.ran, trials.order, words, number_of_letters, corrAns, participant, session, date, expName, psychopyVersion, frameRate
space, 10.668, left, 1, 1.0099999999999998, 1, 0, 80, 27, 1, 79, whicb, 5, left, Ahmad_pmi, 001, 2021-06-15_16h46.13.294, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 0, 2.2609999999999992, 1, 0, 80, 26, 1, 79, which, 5, right, Ahmad_pmi, 001, 2021-06-15_16h46.13.294, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.9259999999999984, 1, 0, 80, 62, 1, 79, important, 9, right, Ahmad_pmi, 001, 2021-06-15_16h46.13.294, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 0, 2.312999999999999, 1, 0, 80, 68, 1, 79, including, 9, right, Ahmad_pmi, 001, 2021-06-15_16h46.13.294, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.0269999999999975, 1, 0, 80, 45, 1, 79, bedween, 7, left, Ahmad_pmi, 001, 2021-06-15_16h46.13.294, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.8260000000000005, 1, 0, 80, 0, 1, 79, way, 3, right, Ahmad_pmi, 001, 2021-06-15_16h46.13.294, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.8589999999999982, 1, 0, 80, 8, 1, 79, out, 3, right, Ahmad_pmi, 001, 2021-06-15_16h46.13.294, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.9939999999999998, 1, 0, 80, 50, 1, 79, business, 8, right, Ahmad_pmi, 001, 2021-06-15_16h46.13.294, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.6249999999999964, 1, 0, 80, 7, 1, 79, fot, 3, left, Ahmad_pmi, 001, 2021-06-15_16h46.13.294, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.9099999999999966, 1, 0, 80, 15, 1, 79, ptay, 4, left, Ahmad_pmi, 001, 2021-06-15_16h46.13.294, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.7080000000000055, 1, 0, 80, 33, 1, 79, becone, 6, left, Ahmad_pmi, 001, 2021-06-15_16h46.13.294, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.6920000000000002, 1, 0, 80, 19, 1, 79, lipe, 4, left, Ahmad_pmi, 001, 2021-06-15_16h46.13.294, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.011000000000003, 1, 0, 80, 71, 1, 79, eferything, 10, left, Ahmad_pmi, 001, 2021-06-15_16h46.13.294, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.8260000000000005, 1, 0, 80, 37, 1, 79, secade, 6, left, Ahmad_pmi, 001, 2021-06-15_16h46.13.294, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.541000000000004, 1, 0, 80, 3, 1, 79, anf, 3, left, Ahmad_pmi, 001, 2021-06-15_16h46.13.294, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.541000000000004, 1, 0, 80, 5, 1, 79, neu, 3, left, Ahmad_pmi, 001, 2021-06-15_16h46.13.294, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.530000000000001, 1, 0, 80, 77, 1, 79, tochnology, 10, left, Ahmad_pmi, 001, 2021-06-15_16h46.13.294, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.7760000000000034, 1, 0, 80, 38, 1, 79, system, 6, right, Ahmad_pmi, 001, 2021-06-15_16h46.13.294, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 0, 1.8599999999999994, 1, 0, 80, 43, 1, 79, countey, 7, left, Ahmad_pmi, 001, 2021-06-15_16h46.13.294, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 0, 2.1769999999999996, 1, 0, 80, 48, 1, 79, believe, 7, right, Ahmad_pmi, 001, 2021-06-15_16h46.13.294, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.0450000000000017, 1, 0, 80, 41, 1, 79, pregram, 7, left, Ahmad_pmi, 001, 2021-06-15_16h46.13.294, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.7250000000000014, 1, 0, 80, 17, 1, 79, heur, 4, left, Ahmad_pmi, 001, 2021-06-15_16h46.13.294, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.6929999999999978, 1, 0, 80, 13, 1, 79, mech, 4, left, Ahmad_pmi, 001, 2021-06-15_16h46.13.294, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 0, 1.9100000000000037, 1, 0, 80, 49, 1, 79, beliefe, 7, left, Ahmad_pmi, 001, 2021-06-15_16h46.13.294, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.661999999999999, 1, 0, 80, 76, 1, 79, technology, 10, right, Ahmad_pmi, 001, 2021-06-15_16h46.13.294, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.6749999999999972, 1, 0, 80, 9, 1, 79, ous, 3, left, Ahmad_pmi, 001, 2021-06-15_16h46.13.294, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.0779999999999887, 1, 0, 80, 36, 1, 79, decade, 6, right, Ahmad_pmi, 001, 2021-06-15_16h46.13.294, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.6539999999999964, 1, 0, 80, 14, 1, 79, play, 4, right, Ahmad_pmi, 001, 2021-06-15_16h46.13.294, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.706000000000003, 1, 0, 80, 44, 1, 79, between, 7, right, Ahmad_pmi, 001, 2021-06-15_16h46.13.294, lexical_decision_task, 3.0.0b12, 60
