key_resp_1.keys, key_resp_1.rt, response.keys, response.corr, response.rt, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, trials.ran, trials.order, words, number_of_letters, corrAns, participant, session, date, expName, psychopyVersion, frameRate
space, 27.924, right, 1, 306.607, 1, 0, 80, 34, 1, 79, factor, 6, right, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 5.109000000000037, 1, 0, 80, 73, 1, 79, exberience, 10, left, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 3.062000000000012, 1, 0, 80, 67, 1, 79, compunity, 9, left, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.211999999999989, 1, 0, 80, 64, 1, 79, political, 9, right, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 0, 3.147000000000048, 1, 0, 80, 13, 1, 79, mech, 4, left, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.397000000000048, 1, 0, 80, 19, 1, 79, lipe, 4, left, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 3.548000000000002, 1, 0, 80, 38, 1, 79, system, 6, right, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.1480000000000246, 1, 0, 80, 56, 1, 79, anything, 8, right, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.26400000000001, 1, 0, 80, 17, 1, 79, heur, 4, left, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.1639999999999873, 1, 0, 80, 37, 1, 79, secade, 6, left, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.8479999999999563, 1, 0, 80, 30, 1, 79, should, 6, right, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.733000000000004, 1, 0, 80, 26, 1, 79, which, 5, right, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.227999999999952, 1, 0, 80, 27, 1, 79, whicb, 5, left, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.1329999999999814, 1, 0, 80, 63, 1, 79, importent, 9, left, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.130999999999972, 1, 0, 80, 44, 1, 79, between, 7, right, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.2660000000000196, 1, 0, 80, 23, 1, 79, aboot, 5, left, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.4639999999999986, 1, 0, 80, 53, 1, 79, rememper, 8, left, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 4.899000000000001, 1, 0, 80, 57, 1, 79, anythink, 8, left, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 3.180999999999983, 1, 0, 80, 74, 1, 79, especially, 10, right, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.115000000000009, 1, 0, 80, 40, 1, 79, program, 7, right, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.365000000000009, 1, 0, 80, 55, 1, 79, quesdion, 8, left, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.615000000000009, 1, 0, 80, 18, 1, 79, line, 4, right, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.215000000000032, 1, 0, 80, 61, 1, 79, bifferent, 9, left, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.5639999999999645, 1, 0, 80, 7, 1, 79, fot, 3, left, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.9809999999999945, 1, 0, 80, 4, 1, 79, new, 3, right, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 3.265000000000043, 1, 0, 80, 5, 1, 79, neu, 3, left, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.0020000000000095, 1, 0, 80, 42, 1, 79, country, 7, right, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.1089999999999804, 1, 0, 80, 47, 1, 79, compane, 7, left, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.430999999999983, 1, 0, 80, 15, 1, 79, ptay, 4, left, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 3.521000000000015, 1, 0, 80, 31, 1, 79, shoule, 6, left, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.164000000000044, 1, 0, 80, 25, 1, 79, thenk, 5, left, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 3.4599999999999795, 1, 0, 80, 22, 1, 79, about, 5, right, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.0640000000000214, 1, 0, 80, 9, 1, 79, ous, 3, left, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.2139999999999986, 1, 0, 80, 41, 1, 79, pregram, 7, left, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.4279999999999973, 1, 0, 80, 71, 1, 79, eferything, 10, left, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.5639999999999645, 1, 0, 80, 46, 1, 79, company, 7, right, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.1480000000000246, 1, 0, 80, 32, 1, 79, become, 6, right, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.93100000000004, 1, 0, 80, 52, 1, 79, remember, 8, right, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.9850000000000136, 1, 0, 80, 60, 1, 79, different, 9, right, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.3589999999999804, 1, 0, 80, 49, 1, 79, beliefe, 7, left, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.7980000000000018, 1, 0, 80, 12, 1, 79, much, 4, right, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 3.798000000000002, 1, 0, 80, 77, 1, 79, tochnology, 10, left, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.0960000000000036, 1, 0, 80, 66, 1, 79, community, 9, right, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.68100000000004, 1, 0, 80, 24, 1, 79, think, 5, right, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 13.564000000000021, 1, 0, 80, 3, 1, 79, anf, 3, left, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.7450000000000045, 1, 0, 80, 76, 1, 79, technology, 10, right, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.464999999999975, 1, 0, 80, 51, 1, 79, bussness, 8, left, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.9639999999999986, 1, 0, 80, 50, 1, 79, business, 8, right, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.0950000000000273, 1, 0, 80, 62, 1, 79, important, 9, right, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.132000000000005, 1, 0, 80, 39, 1, 79, sistem, 6, left, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 5.897000000000048, 1, 0, 80, 16, 1, 79, hour, 4, right, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 0, 4.644999999999982, 1, 0, 80, 20, 1, 79, their, 5, right, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 3.061999999999955, 1, 0, 80, 36, 1, 79, decade, 6, right, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 6.030999999999949, 1, 0, 80, 69, 1, 79, incluting, 9, left, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.1280000000000427, 1, 0, 80, 10, 1, 79, want, 4, right, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 11.563999999999965, 1, 0, 80, 33, 1, 79, becone, 6, left, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.161999999999921, 1, 0, 80, 59, 1, 79, pesearch, 8, left, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.3310000000000173, 1, 0, 80, 48, 1, 79, believe, 7, right, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.09699999999998, 1, 0, 80, 29, 1, 79, courd, 5, left, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.4990000000000236, 1, 0, 80, 79, 1, 79, bopulation, 10, left, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.879000000000019, 1, 0, 80, 70, 1, 79, everything, 10, right, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.8310000000000173, 1, 0, 80, 0, 1, 79, way, 3, right, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.1140000000000327, 1, 0, 80, 28, 1, 79, could, 5, right, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.1140000000000327, 1, 0, 80, 43, 1, 79, countey, 7, left, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.395999999999958, 1, 0, 80, 54, 1, 79, question, 8, right, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.2309999999999945, 1, 0, 80, 65, 1, 79, pofitical, 9, left, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 3.0470000000000255, 1, 0, 80, 35, 1, 79, fector, 6, left, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.2649999999999864, 1, 0, 80, 58, 1, 79, research, 8, right, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 3.68100000000004, 1, 0, 80, 78, 1, 79, population, 10, right, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.661999999999921, 1, 0, 80, 8, 1, 79, out, 3, right, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.312000000000012, 1, 0, 80, 2, 1, 79, and, 3, right, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.8640000000000327, 1, 0, 80, 14, 1, 79, play, 4, right, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 4.030999999999949, 1, 0, 80, 68, 1, 79, including, 9, right, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.4120000000000346, 1, 0, 80, 72, 1, 79, experience, 10, right, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.0979999999999563, 1, 0, 80, 21, 1, 79, theyr, 5, left, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.4139999999999873, 1, 0, 80, 75, 1, 79, especialty, 10, left, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 3.9969999999999573, 1, 0, 80, 6, 1, 79, for, 3, right, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.102000000000089, 1, 0, 80, 11, 1, 79, wunt, 4, left, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 3.1259999999999764, 1, 0, 80, 45, 1, 79, bedween, 7, left, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 3.3450000000000273, 1, 0, 80, 1, 1, 79, woy, 3, left, Jacob Rajan, 001, 2023-03-13_14h19.56.523, lexical_decision_task, 3.0.0b12, 60
