key_resp_1.keys, key_resp_1.rt, response.keys, response.corr, response.rt, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, trials.ran, trials.order, words, number_of_letters, corrAns, participant, session, date, expName, psychopyVersion, frameRate
space, 92.161, right, 1, 10.080000000000013, 1, 0, 80, 60, 1, 79, different, 9, right, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 0, 2.289999999999992, 1, 0, 80, 10, 1, 79, want, 4, right, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 4.116, 1, 0, 80, 46, 1, 79, company, 7, right, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 3.100999999999999, 1, 0, 80, 74, 1, 79, especially, 10, right, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 6.043000000000006, 1, 0, 80, 63, 1, 79, importent, 9, left, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.6019999999999754, 1, 0, 80, 67, 1, 79, compunity, 9, left, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.7139999999999986, 1, 0, 80, 26, 1, 79, which, 5, right, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.382000000000005, 1, 0, 80, 19, 1, 79, lipe, 4, left, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.9579999999999984, 1, 0, 80, 38, 1, 79, system, 6, right, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.0919999999999845, 1, 0, 80, 4, 1, 79, new, 3, right, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.0490000000000066, 1, 0, 80, 47, 1, 79, compane, 7, left, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.863999999999976, 1, 0, 80, 14, 1, 79, play, 4, right, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.1570000000000107, 1, 0, 80, 70, 1, 79, everything, 10, right, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.766999999999996, 1, 0, 80, 0, 1, 79, way, 3, right, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.7620000000000005, 1, 0, 80, 66, 1, 79, community, 9, right, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.899000000000001, 1, 0, 80, 35, 1, 79, fector, 6, left, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 3.285999999999973, 1, 0, 80, 17, 1, 79, heur, 4, left, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.7990000000000066, 1, 0, 80, 32, 1, 79, become, 6, right, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.858000000000004, 1, 0, 80, 23, 1, 79, aboot, 5, left, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.9379999999999882, 1, 0, 80, 39, 1, 79, sistem, 6, left, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.9239999999999782, 1, 0, 80, 58, 1, 79, research, 8, right, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.170000000000016, 1, 0, 80, 61, 1, 79, bifferent, 9, left, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.8059999999999832, 1, 0, 80, 43, 1, 79, countey, 7, left, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.781000000000006, 1, 0, 80, 25, 1, 79, thenk, 5, left, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.5989999999999895, 1, 0, 80, 64, 1, 79, political, 9, right, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.8729999999999905, 1, 0, 80, 73, 1, 79, exberience, 10, left, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.4960000000000093, 1, 0, 80, 36, 1, 79, decade, 6, right, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.8940000000000055, 1, 0, 80, 65, 1, 79, pofitical, 9, left, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.974000000000018, 1, 0, 80, 15, 1, 79, ptay, 4, left, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.8239999999999839, 1, 0, 80, 56, 1, 79, anything, 8, right, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.835000000000008, 1, 0, 80, 3, 1, 79, anf, 3, left, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.7659999999999911, 1, 0, 80, 55, 1, 79, quesdion, 8, left, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.038000000000011, 1, 0, 80, 77, 1, 79, tochnology, 10, left, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.0660000000000025, 1, 0, 80, 54, 1, 79, question, 8, right, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.8979999999999961, 1, 0, 80, 72, 1, 79, experience, 10, right, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.7990000000000066, 1, 0, 80, 76, 1, 79, technology, 10, right, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.117999999999995, 1, 0, 80, 40, 1, 79, program, 7, right, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.8309999999999889, 1, 0, 80, 1, 1, 79, woy, 3, left, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.8340000000000032, 1, 0, 80, 22, 1, 79, about, 5, right, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.8870000000000005, 1, 0, 80, 37, 1, 79, secade, 6, left, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.8870000000000005, 1, 0, 80, 24, 1, 79, think, 5, right, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.8329999999999984, 1, 0, 80, 50, 1, 79, business, 8, right, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.2229999999999848, 1, 0, 80, 51, 1, 79, bussness, 8, left, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 3.6069999999999993, 1, 0, 80, 20, 1, 79, their, 5, right, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.1329999999999814, 1, 0, 80, 8, 1, 79, out, 3, right, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.9610000000000127, 1, 0, 80, 18, 1, 79, line, 4, right, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 184.389, 1, 0, 80, 62, 1, 79, important, 9, right, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.527999999999963, 1, 0, 80, 13, 1, 79, mech, 4, left, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.9279999999999973, 1, 0, 80, 21, 1, 79, theyr, 5, left, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.9750000000000227, 1, 0, 80, 53, 1, 79, rememper, 8, left, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.7580000000000382, 1, 0, 80, 59, 1, 79, pesearch, 8, left, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.823000000000036, 1, 0, 80, 71, 1, 79, eferything, 10, left, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.9990000000000236, 1, 0, 80, 75, 1, 79, especialty, 10, left, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.8710000000000377, 1, 0, 80, 7, 1, 79, fot, 3, left, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.4069999999999823, 1, 0, 80, 52, 1, 79, remember, 8, right, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.775000000000034, 1, 0, 80, 34, 1, 79, factor, 6, right, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.8179999999999836, 1, 0, 80, 12, 1, 79, much, 4, right, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.9049999999999727, 1, 0, 80, 11, 1, 79, wunt, 4, left, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.8310000000000173, 1, 0, 80, 42, 1, 79, country, 7, right, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.9069999999999823, 1, 0, 80, 79, 1, 79, bopulation, 10, left, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.5569999999999595, 1, 0, 80, 57, 1, 79, anythink, 8, left, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.95799999999997, 1, 0, 80, 5, 1, 79, neu, 3, left, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.8570000000000277, 1, 0, 80, 29, 1, 79, courd, 5, left, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.947999999999979, 1, 0, 80, 49, 1, 79, beliefe, 7, left, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.839999999999975, 1, 0, 80, 31, 1, 79, shoule, 6, left, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2, 1, 0, 80, 78, 1, 79, population, 10, right, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.8260000000000218, 1, 0, 80, 27, 1, 79, whicb, 5, left, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.9839999999999804, 1, 0, 80, 30, 1, 79, should, 6, right, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.1790000000000305, 1, 0, 80, 48, 1, 79, believe, 7, right, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.9979999999999905, 1, 0, 80, 9, 1, 79, ous, 3, left, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 3.0360000000000014, 1, 0, 80, 44, 1, 79, between, 7, right, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.4110000000000014, 1, 0, 80, 41, 1, 79, pregram, 7, left, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.9010000000000105, 1, 0, 80, 68, 1, 79, including, 9, right, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.9460000000000264, 1, 0, 80, 33, 1, 79, becone, 6, left, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.8770000000000095, 1, 0, 80, 28, 1, 79, could, 5, right, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.9389999999999645, 1, 0, 80, 6, 1, 79, for, 3, right, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.94399999999996, 1, 0, 80, 69, 1, 79, incluting, 9, left, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.7450000000000045, 1, 0, 80, 16, 1, 79, hour, 4, right, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.6240000000000236, 1, 0, 80, 2, 1, 79, and, 3, right, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.7989999999999782, 1, 0, 80, 45, 1, 79, bedween, 7, left, Linde, 001, 2023-03-13_10h31.40.483, lexical_decision_task, 3.0.0b12, 60
