key_resp_1.keys, key_resp_1.rt, response.keys, response.corr, response.rt, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, trials.ran, trials.order, words, number_of_letters, corrAns, participant, session, date, expName, psychopyVersion, frameRate
space, 23.173000000000002, right, 1, 2.9299999999999997, 1, 0, 80, 20, 1, 79, their, 5, right, Marianne, 001, 2020-11-27_11h14.06.244, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.0649999999999977, 1, 0, 80, 5, 1, 79, neu, 3, left, Marianne, 001, 2020-11-27_11h14.06.244, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.966000000000001, 1, 0, 80, 4, 1, 79, new, 3, right, Marianne, 001, 2020-11-27_11h14.06.244, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.3670000000000044, 1, 0, 80, 44, 1, 79, between, 7, right, Marianne, 001, 2020-11-27_11h14.06.244, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.8489999999999966, 1, 0, 80, 16, 1, 79, hour, 4, right, Marianne, 001, 2020-11-27_11h14.06.244, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.899000000000001, 1, 0, 80, 10, 1, 79, want, 4, right, Marianne, 001, 2020-11-27_11h14.06.244, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.9169999999999945, 1, 0, 80, 23, 1, 79, aboot, 5, left, Marianne, 001, 2020-11-27_11h14.06.244, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.5330000000000013, 1, 0, 80, 39, 1, 79, sistem, 6, left, Marianne, 001, 2020-11-27_11h14.06.244, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.9650000000000034, 1, 0, 80, 54, 1, 79, question, 8, right, Marianne, 001, 2020-11-27_11h14.06.244, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.8659999999999997, 1, 0, 80, 22, 1, 79, about, 5, right, Marianne, 001, 2020-11-27_11h14.06.244, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.7999999999999972, 1, 0, 80, 18, 1, 79, line, 4, right, Marianne, 001, 2020-11-27_11h14.06.244, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 0, 4.666000000000004, 1, 0, 80, 75, 1, 79, especialty, 10, left, Marianne, 001, 2020-11-27_11h14.06.244, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.2989999999999995, 1, 0, 80, 36, 1, 79, decade, 6, right, Marianne, 001, 2020-11-27_11h14.06.244, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.0489999999999995, 1, 0, 80, 51, 1, 79, bussness, 8, left, Marianne, 001, 2020-11-27_11h14.06.244, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.334000000000003, 1, 0, 80, 0, 1, 79, way, 3, right, Marianne, 001, 2020-11-27_11h14.06.244, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.4170000000000016, 1, 0, 80, 17, 1, 79, heur, 4, left, Marianne, 001, 2020-11-27_11h14.06.244, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.397999999999996, 1, 0, 80, 35, 1, 79, fector, 6, left, Marianne, 001, 2020-11-27_11h14.06.244, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.3500000000000085, 1, 0, 80, 64, 1, 79, political, 9, right, Marianne, 001, 2020-11-27_11h14.06.244, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.149000000000001, 1, 0, 80, 53, 1, 79, rememper, 8, left, Marianne, 001, 2020-11-27_11h14.06.244, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.983000000000004, 1, 0, 80, 66, 1, 79, community, 9, right, Marianne, 001, 2020-11-27_11h14.06.244, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 3.0319999999999965, 1, 0, 80, 62, 1, 79, important, 9, right, Marianne, 001, 2020-11-27_11h14.06.244, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.149000000000001, 1, 0, 80, 30, 1, 79, should, 6, right, Marianne, 001, 2020-11-27_11h14.06.244, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.0490000000000066, 1, 0, 80, 29, 1, 79, courd, 5, left, Marianne, 001, 2020-11-27_11h14.06.244, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.766999999999996, 1, 0, 80, 37, 1, 79, secade, 6, left, Marianne, 001, 2020-11-27_11h14.06.244, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.9660000000000082, 1, 0, 80, 1, 1, 79, woy, 3, left, Marianne, 001, 2020-11-27_11h14.06.244, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 4.582999999999998, 1, 0, 80, 45, 1, 79, bedween, 7, left, Marianne, 001, 2020-11-27_11h14.06.244, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 3.0660000000000025, 1, 0, 80, 50, 1, 79, business, 8, right, Marianne, 001, 2020-11-27_11h14.06.244, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.9329999999999927, 1, 0, 80, 33, 1, 79, becone, 6, left, Marianne, 001, 2020-11-27_11h14.06.244, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.1000000000000085, 1, 0, 80, 67, 1, 79, compunity, 9, left, Marianne, 001, 2020-11-27_11h14.06.244, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.216000000000008, 1, 0, 80, 6, 1, 79, for, 3, right, Marianne, 001, 2020-11-27_11h14.06.244, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.114999999999995, 1, 0, 80, 8, 1, 79, out, 3, right, Marianne, 001, 2020-11-27_11h14.06.244, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.1829999999999927, 1, 0, 80, 9, 1, 79, ous, 3, left, Marianne, 001, 2020-11-27_11h14.06.244, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.4989999999999952, 1, 0, 80, 48, 1, 79, believe, 7, right, Marianne, 001, 2020-11-27_11h14.06.244, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 4.483000000000004, 1, 0, 80, 60, 1, 79, different, 9, right, Marianne, 001, 2020-11-27_11h14.06.244, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2, 1, 0, 80, 32, 1, 79, become, 6, right, Marianne, 001, 2020-11-27_11h14.06.244, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.9009999999999962, 1, 0, 80, 71, 1, 79, eferything, 10, left, Marianne, 001, 2020-11-27_11h14.06.244, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 4.933000000000007, 1, 0, 80, 69, 1, 79, incluting, 9, left, Marianne, 001, 2020-11-27_11h14.06.244, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 3.198999999999998, 1, 0, 80, 31, 1, 79, shoule, 6, left, Marianne, 001, 2020-11-27_11h14.06.244, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 4.483000000000004, 1, 0, 80, 78, 1, 79, population, 10, right, Marianne, 001, 2020-11-27_11h14.06.244, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.983000000000004, 1, 0, 80, 68, 1, 79, including, 9, right, Marianne, 001, 2020-11-27_11h14.06.244, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.766999999999996, 1, 0, 80, 26, 1, 79, which, 5, right, Marianne, 001, 2020-11-27_11h14.06.244, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.0989999999999895, 1, 0, 80, 7, 1, 79, fot, 3, left, Marianne, 001, 2020-11-27_11h14.06.244, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.8830000000000098, 1, 0, 80, 46, 1, 79, company, 7, right, Marianne, 001, 2020-11-27_11h14.06.244, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 3.515999999999991, 1, 0, 80, 57, 1, 79, anythink, 8, left, Marianne, 001, 2020-11-27_11h14.06.244, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.1159999999999854, 1, 0, 80, 2, 1, 79, and, 3, right, Marianne, 001, 2020-11-27_11h14.06.244, lexical_decision_task, 3.0.0b12, 60
