key_resp_1.keys, key_resp_1.rt, response.keys, response.corr, response.rt, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, trials.ran, trials.order, words, number_of_letters, corrAns, participant, session, date, expName, psychopyVersion, frameRate
space, 64.244, right, 0, 1.0180000000000007, 1, 0, 80, 45, 1, 79, bedween, 7, left, MrKing, 001, 2020-08-14_09h06.14.879, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 0, 3.307000000000002, 1, 0, 80, 76, 1, 79, technology, 10, right, MrKing, 001, 2020-08-14_09h06.14.879, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.0220000000000056, 1, 0, 80, 34, 1, 79, factor, 6, right, MrKing, 001, 2020-08-14_09h06.14.879, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.654999999999987, 1, 0, 80, 49, 1, 79, beliefe, 7, left, MrKing, 001, 2020-08-14_09h06.14.879, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.1880000000000024, 1, 0, 80, 16, 1, 79, hour, 4, right, MrKing, 001, 2020-08-14_09h06.14.879, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.7789999999999964, 1, 0, 80, 13, 1, 79, mech, 4, left, MrKing, 001, 2020-08-14_09h06.14.879, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.7249999999999943, 1, 0, 80, 56, 1, 79, anything, 8, right, MrKing, 001, 2020-08-14_09h06.14.879, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.9669999999999987, 1, 0, 80, 67, 1, 79, compunity, 9, left, MrKing, 001, 2020-08-14_09h06.14.879, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 0, 4.3430000000000035, 1, 0, 80, 77, 1, 79, tochnology, 10, left, MrKing, 001, 2020-08-14_09h06.14.879, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.253, 1, 0, 80, 8, 1, 79, out, 3, right, MrKing, 001, 2020-08-14_09h06.14.879, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.084000000000003, 1, 0, 80, 64, 1, 79, political, 9, right, MrKing, 001, 2020-08-14_09h06.14.879, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 0, 3.1629999999999967, 1, 0, 80, 75, 1, 79, especialty, 10, left, MrKing, 001, 2020-08-14_09h06.14.879, lexical_decision_task, 3.0.0b12, 60
