key_resp_1.keys, key_resp_1.rt, response.keys, response.corr, response.rt, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, trials.ran, trials.order, words, number_of_letters, corrAns, participant, session, date, expName, psychopyVersion, frameRate
space, 16.802000000000003, right, 1, 2.7079999999999984, 1, 0, 80, 60, 1, 79, different, 9, right, Nitin, 001, 2020-06-07_01h44.15.431, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 0, 2.2340000000000018, 1, 0, 80, 61, 1, 79, bifferent, 9, left, Nitin, 001, 2020-06-07_01h44.15.431, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.7340000000000018, 1, 0, 80, 8, 1, 79, out, 3, right, Nitin, 001, 2020-06-07_01h44.15.431, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.317999999999998, 1, 0, 80, 42, 1, 79, country, 7, right, Nitin, 001, 2020-06-07_01h44.15.431, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.8179999999999978, 1, 0, 80, 31, 1, 79, shoule, 6, left, Nitin, 001, 2020-06-07_01h44.15.431, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.3689999999999998, 1, 0, 80, 54, 1, 79, question, 8, right, Nitin, 001, 2020-06-07_01h44.15.431, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.833999999999996, 1, 0, 80, 39, 1, 79, sistem, 6, left, Nitin, 001, 2020-06-07_01h44.15.431, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.8190000000000026, 1, 0, 80, 71, 1, 79, eferything, 10, left, Nitin, 001, 2020-06-07_01h44.15.431, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.8519999999999968, 1, 0, 80, 22, 1, 79, about, 5, right, Nitin, 001, 2020-06-07_01h44.15.431, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.9680000000000035, 1, 0, 80, 41, 1, 79, pregram, 7, left, Nitin, 001, 2020-06-07_01h44.15.431, lexical_decision_task, 3.0.0b12, 60
