key_resp_1.keys, key_resp_1.rt, response.keys, response.corr, response.rt, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, trials.ran, trials.order, words, number_of_letters, corrAns, participant, session, date, expName, psychopyVersion, frameRate
space, 38.775, left, 1, 1.0219999999999985, 1, 0, 80, 67, 1, 79, compunity, 9, left, , 001, 2022-01-19_11h26.42.421, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.9590000000000032, 1, 0, 80, 66, 1, 79, community, 9, right, , 001, 2022-01-19_11h26.42.421, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.7970000000000041, 1, 0, 80, 3, 1, 79, anf, 3, left, , 001, 2022-01-19_11h26.42.421, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.6969999999999956, 1, 0, 80, 27, 1, 79, whicb, 5, left, , 001, 2022-01-19_11h26.42.421, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.6130000000000067, 1, 0, 80, 58, 1, 79, research, 8, right, , 001, 2022-01-19_11h26.42.421, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.7310000000000016, 1, 0, 80, 23, 1, 79, aboot, 5, left, , 001, 2022-01-19_11h26.42.421, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 0, 1.564, 1, 0, 80, 55, 1, 79, quesdion, 8, left, , 001, 2022-01-19_11h26.42.421, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.2139999999999986, 1, 0, 80, 33, 1, 79, becone, 6, left, , 001, 2022-01-19_11h26.42.421, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.8969999999999985, 1, 0, 80, 24, 1, 79, think, 5, right, , 001, 2022-01-19_11h26.42.421, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.6129999999999995, 1, 0, 80, 20, 1, 79, their, 5, right, , 001, 2022-01-19_11h26.42.421, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.5659999999999954, 1, 0, 80, 30, 1, 79, should, 6, right, , 001, 2022-01-19_11h26.42.421, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.7809999999999988, 1, 0, 80, 1, 1, 79, woy, 3, left, , 001, 2022-01-19_11h26.42.421, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.7310000000000016, 1, 0, 80, 14, 1, 79, play, 4, right, , 001, 2022-01-19_11h26.42.421, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.8960000000000008, 1, 0, 80, 7, 1, 79, fot, 3, left, , 001, 2022-01-19_11h26.42.421, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.815000000000012, 1, 0, 80, 42, 1, 79, country, 7, right, , 001, 2022-01-19_11h26.42.421, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.6820000000000022, 1, 0, 80, 74, 1, 79, especially, 10, right, , 001, 2022-01-19_11h26.42.421, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.815000000000012, 1, 0, 80, 61, 1, 79, bifferent, 9, left, , 001, 2022-01-19_11h26.42.421, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.6310000000000002, 1, 0, 80, 64, 1, 79, political, 9, right, , 001, 2022-01-19_11h26.42.421, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.698999999999998, 1, 0, 80, 62, 1, 79, important, 9, right, , 001, 2022-01-19_11h26.42.421, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.0319999999999965, 1, 0, 80, 75, 1, 79, especialty, 10, left, , 001, 2022-01-19_11h26.42.421, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.9470000000000027, 1, 0, 80, 21, 1, 79, theyr, 5, left, , 001, 2022-01-19_11h26.42.421, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 0, 1.7980000000000018, 1, 0, 80, 73, 1, 79, exberience, 10, left, , 001, 2022-01-19_11h26.42.421, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 0, 1.0180000000000007, 1, 0, 80, 71, 1, 79, eferything, 10, left, , 001, 2022-01-19_11h26.42.421, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.7950000000000017, 1, 0, 80, 10, 1, 79, want, 4, right, , 001, 2022-01-19_11h26.42.421, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 0, 3.5150000000000006, 1, 0, 80, 36, 1, 79, decade, 6, right, , 001, 2022-01-19_11h26.42.421, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.548000000000002, 1, 0, 80, 13, 1, 79, mech, 4, left, , 001, 2022-01-19_11h26.42.421, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.8870000000000005, 1, 0, 80, 50, 1, 79, business, 8, right, , 001, 2022-01-19_11h26.42.421, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.9080000000000013, 1, 0, 80, 63, 1, 79, importent, 9, left, , 001, 2022-01-19_11h26.42.421, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.831000000000003, 1, 0, 80, 32, 1, 79, become, 6, right, , 001, 2022-01-19_11h26.42.421, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.7459999999999951, 1, 0, 80, 51, 1, 79, bussness, 8, left, , 001, 2022-01-19_11h26.42.421, lexical_decision_task, 3.0.0b12, 60
