key_resp_1.keys, key_resp_1.rt, response.keys, response.corr, response.rt, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, trials.ran, trials.order, words, number_of_letters, corrAns, participant, session, date, expName, psychopyVersion, frameRate
space, 27.782999999999998, right, 1, 1.0229999999999961, 1, 0, 80, 72, 1, 79, experience, 10, right, a, 001, 2021-04-19_12h45.24.347, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.1469999999999985, 1, 0, 80, 15, 1, 79, ptay, 4, left, a, 001, 2021-04-19_12h45.24.347, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.155999999999999, 1, 0, 80, 58, 1, 79, research, 8, right, a, 001, 2021-04-19_12h45.24.347, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.8149999999999977, 1, 0, 80, 38, 1, 79, system, 6, right, a, 001, 2021-04-19_12h45.24.347, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.1140000000000043, 1, 0, 80, 63, 1, 79, importent, 9, left, a, 001, 2021-04-19_12h45.24.347, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.8859999999999957, 1, 0, 80, 41, 1, 79, pregram, 7, left, a, 001, 2021-04-19_12h45.24.347, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.7659999999999982, 1, 0, 80, 61, 1, 79, bifferent, 9, left, a, 001, 2021-04-19_12h45.24.347, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.6099999999999994, 1, 0, 80, 24, 1, 79, think, 5, right, a, 001, 2021-04-19_12h45.24.347, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 4.570999999999998, 1, 0, 80, 77, 1, 79, tochnology, 10, left, a, 001, 2021-04-19_12h45.24.347, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.8329999999999984, 1, 0, 80, 6, 1, 79, for, 3, right, a, 001, 2021-04-19_12h45.24.347, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.6479999999999961, 1, 0, 80, 0, 1, 79, way, 3, right, a, 001, 2021-04-19_12h45.24.347, lexical_decision_task, 3.0.0b12, 60
