key_resp_1.keys, key_resp_1.rt, response.keys, response.corr, response.rt, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, trials.ran, trials.order, words, number_of_letters, corrAns, participant, session, date, expName, psychopyVersion, frameRate
space, 7.797000000000001, right, 1, 2.641, 1, 0, 80, 68, 1, 79, including, 9, right, cansel, 001, 2020-11-27_16h33.12.092, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.4949999999999974, 1, 0, 80, 32, 1, 79, become, 6, right, cansel, 001, 2020-11-27_16h33.12.092, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.779, 1, 0, 80, 66, 1, 79, community, 9, right, cansel, 001, 2020-11-27_16h33.12.092, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.9130000000000003, 1, 0, 80, 76, 1, 79, technology, 10, right, cansel, 001, 2020-11-27_16h33.12.092, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.272000000000002, 1, 0, 80, 35, 1, 79, fector, 6, left, cansel, 001, 2020-11-27_16h33.12.092, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.178000000000001, 1, 0, 80, 70, 1, 79, everything, 10, right, cansel, 001, 2020-11-27_16h33.12.092, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.747, 1, 0, 80, 59, 1, 79, pesearch, 8, left, cansel, 001, 2020-11-27_16h33.12.092, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.0809999999999995, 1, 0, 80, 48, 1, 79, believe, 7, right, cansel, 001, 2020-11-27_16h33.12.092, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.312999999999999, 1, 0, 80, 13, 1, 79, mech, 4, left, cansel, 001, 2020-11-27_16h33.12.092, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.9649999999999963, 1, 0, 80, 43, 1, 79, countey, 7, left, cansel, 001, 2020-11-27_16h33.12.092, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.078000000000003, 1, 0, 80, 53, 1, 79, rememper, 8, left, cansel, 001, 2020-11-27_16h33.12.092, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.1969999999999956, 1, 0, 80, 60, 1, 79, different, 9, right, cansel, 001, 2020-11-27_16h33.12.092, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.0360000000000014, 1, 0, 80, 41, 1, 79, pregram, 7, left, cansel, 001, 2020-11-27_16h33.12.092, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2, 1, 0, 80, 2, 1, 79, and, 3, right, cansel, 001, 2020-11-27_16h33.12.092, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.3089999999999975, 1, 0, 80, 23, 1, 79, aboot, 5, left, cansel, 001, 2020-11-27_16h33.12.092, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.0080000000000027, 1, 0, 80, 1, 1, 79, woy, 3, left, cansel, 001, 2020-11-27_16h33.12.092, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.1779999999999973, 1, 0, 80, 30, 1, 79, should, 6, right, cansel, 001, 2020-11-27_16h33.12.092, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.814, 1, 0, 80, 17, 1, 79, heur, 4, left, cansel, 001, 2020-11-27_16h33.12.092, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.5790000000000006, 1, 0, 80, 78, 1, 79, population, 10, right, cansel, 001, 2020-11-27_16h33.12.092, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.564, 1, 0, 80, 10, 1, 79, want, 4, right, cansel, 001, 2020-11-27_16h33.12.092, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 3.8329999999999984, 1, 0, 80, 44, 1, 79, between, 7, right, cansel, 001, 2020-11-27_16h33.12.092, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.8149999999999977, 1, 0, 80, 33, 1, 79, becone, 6, left, cansel, 001, 2020-11-27_16h33.12.092, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.5889999999999915, 1, 0, 80, 45, 1, 79, bedween, 7, left, cansel, 001, 2020-11-27_16h33.12.092, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.117999999999995, 1, 0, 80, 36, 1, 79, decade, 6, right, cansel, 001, 2020-11-27_16h33.12.092, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.576999999999998, 1, 0, 80, 58, 1, 79, research, 8, right, cansel, 001, 2020-11-27_16h33.12.092, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.7439999999999998, 1, 0, 80, 22, 1, 79, about, 5, right, cansel, 001, 2020-11-27_16h33.12.092, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.013999999999996, 1, 0, 80, 29, 1, 79, courd, 5, left, cansel, 001, 2020-11-27_16h33.12.092, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.7800000000000011, 1, 0, 80, 62, 1, 79, important, 9, right, cansel, 001, 2020-11-27_16h33.12.092, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.7970000000000113, 1, 0, 80, 64, 1, 79, political, 9, right, cansel, 001, 2020-11-27_16h33.12.092, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.004000000000005, 1, 0, 80, 49, 1, 79, beliefe, 7, left, cansel, 001, 2020-11-27_16h33.12.092, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.8619999999999948, 1, 0, 80, 69, 1, 79, incluting, 9, left, cansel, 001, 2020-11-27_16h33.12.092, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.9299999999999926, 1, 0, 80, 46, 1, 79, company, 7, right, cansel, 001, 2020-11-27_16h33.12.092, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.8429999999999893, 1, 0, 80, 9, 1, 79, ous, 3, left, cansel, 001, 2020-11-27_16h33.12.092, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.9650000000000034, 1, 0, 80, 73, 1, 79, exberience, 10, left, cansel, 001, 2020-11-27_16h33.12.092, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.066999999999993, 1, 0, 80, 28, 1, 79, could, 5, right, cansel, 001, 2020-11-27_16h33.12.092, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.7749999999999915, 1, 0, 80, 27, 1, 79, whicb, 5, left, cansel, 001, 2020-11-27_16h33.12.092, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.7459999999999951, 1, 0, 80, 52, 1, 79, remember, 8, right, cansel, 001, 2020-11-27_16h33.12.092, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 0, 2.4140000000000015, 1, 0, 80, 77, 1, 79, tochnology, 10, left, cansel, 001, 2020-11-27_16h33.12.092, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.9140000000000015, 1, 0, 80, 6, 1, 79, for, 3, right, cansel, 001, 2020-11-27_16h33.12.092, lexical_decision_task, 3.0.0b12, 60
