key_resp_1.keys, key_resp_1.rt, response.keys, response.corr, response.rt, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, trials.ran, trials.order, words, number_of_letters, corrAns, participant, session, date, expName, psychopyVersion, frameRate
space, 9.001000000000001, right, 0, 3.122, 1, 0, 80, 73, 1, 79, exberience, 10, left, es, 001, 2021-11-08_19h22.03.674, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.2639999999999993, 1, 0, 80, 6, 1, 79, for, 3, right, es, 001, 2021-11-08_19h22.03.674, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.9789999999999992, 1, 0, 80, 55, 1, 79, quesdion, 8, left, es, 001, 2021-11-08_19h22.03.674, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.296999999999997, 1, 0, 80, 33, 1, 79, becone, 6, left, es, 001, 2021-11-08_19h22.03.674, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.7959999999999994, 1, 0, 80, 25, 1, 79, thenk, 5, left, es, 001, 2021-11-08_19h22.03.674, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.8810000000000002, 1, 0, 80, 7, 1, 79, fot, 3, left, es, 001, 2021-11-08_19h22.03.674, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.9849999999999994, 1, 0, 80, 79, 1, 79, bopulation, 10, left, es, 001, 2021-11-08_19h22.03.674, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.926000000000002, 1, 0, 80, 68, 1, 79, including, 9, right, es, 001, 2021-11-08_19h22.03.674, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 0, 1.7800000000000011, 1, 0, 80, 60, 1, 79, different, 9, right, es, 001, 2021-11-08_19h22.03.674, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.7680000000000007, 1, 0, 80, 4, 1, 79, new, 3, right, es, 001, 2021-11-08_19h22.03.674, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.8759999999999977, 1, 0, 80, 5, 1, 79, neu, 3, left, es, 001, 2021-11-08_19h22.03.674, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.7959999999999994, 1, 0, 80, 57, 1, 79, anythink, 8, left, es, 001, 2021-11-08_19h22.03.674, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.764000000000003, 1, 0, 80, 21, 1, 79, theyr, 5, left, es, 001, 2021-11-08_19h22.03.674, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.9140000000000015, 1, 0, 80, 52, 1, 79, remember, 8, right, es, 001, 2021-11-08_19h22.03.674, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.581000000000003, 1, 0, 80, 58, 1, 79, research, 8, right, es, 001, 2021-11-08_19h22.03.674, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.5960000000000036, 1, 0, 80, 2, 1, 79, and, 3, right, es, 001, 2021-11-08_19h22.03.674, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.6669999999999945, 1, 0, 80, 66, 1, 79, community, 9, right, es, 001, 2021-11-08_19h22.03.674, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.7590000000000003, 1, 0, 80, 13, 1, 79, mech, 4, left, es, 001, 2021-11-08_19h22.03.674, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.831000000000003, 1, 0, 80, 16, 1, 79, hour, 4, right, es, 001, 2021-11-08_19h22.03.674, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.8299999999999983, 1, 0, 80, 3, 1, 79, anf, 3, left, es, 001, 2021-11-08_19h22.03.674, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.9179999999999922, 1, 0, 80, 49, 1, 79, beliefe, 7, left, es, 001, 2021-11-08_19h22.03.674, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.7419999999999902, 1, 0, 80, 9, 1, 79, ous, 3, left, es, 001, 2021-11-08_19h22.03.674, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 0, 1.813999999999993, 1, 0, 80, 39, 1, 79, sistem, 6, left, es, 001, 2021-11-08_19h22.03.674, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.347999999999999, 1, 0, 80, 31, 1, 79, shoule, 6, left, es, 001, 2021-11-08_19h22.03.674, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.8810000000000002, 1, 0, 80, 18, 1, 79, line, 4, right, es, 001, 2021-11-08_19h22.03.674, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.7960000000000065, 1, 0, 80, 47, 1, 79, compane, 7, left, es, 001, 2021-11-08_19h22.03.674, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.813999999999993, 1, 0, 80, 0, 1, 79, way, 3, right, es, 001, 2021-11-08_19h22.03.674, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.6640000000000015, 1, 0, 80, 48, 1, 79, believe, 7, right, es, 001, 2021-11-08_19h22.03.674, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.7800000000000011, 1, 0, 80, 23, 1, 79, aboot, 5, left, es, 001, 2021-11-08_19h22.03.674, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.11399999999999, 1, 0, 80, 61, 1, 79, bifferent, 9, left, es, 001, 2021-11-08_19h22.03.674, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.012999999999991, 1, 0, 80, 70, 1, 79, everything, 10, right, es, 001, 2021-11-08_19h22.03.674, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.9629999999999939, 1, 0, 80, 63, 1, 79, importent, 9, left, es, 001, 2021-11-08_19h22.03.674, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.6970000000000027, 1, 0, 80, 27, 1, 79, whicb, 5, left, es, 001, 2021-11-08_19h22.03.674, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.247, 1, 0, 80, 59, 1, 79, pesearch, 8, left, es, 001, 2021-11-08_19h22.03.674, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.6970000000000027, 1, 0, 80, 34, 1, 79, factor, 6, right, es, 001, 2021-11-08_19h22.03.674, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 0, 2.0130000000000052, 1, 0, 80, 17, 1, 79, heur, 4, left, es, 001, 2021-11-08_19h22.03.674, lexical_decision_task, 3.0.0b12, 60
