key_resp_1.keys, key_resp_1.rt, response.keys, response.corr, response.rt, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, trials.ran, trials.order, words, number_of_letters, corrAns, participant, session, date, expName, psychopyVersion, frameRate
space, 15.935000000000002, left, 1, 2.4609999999999985, 1, 0, 80, 3, 1, 79, anf, 3, left, gabi, 001, 2020-09-29_11h39.03.281, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.7849999999999966, 1, 0, 80, 74, 1, 79, especially, 10, right, gabi, 001, 2020-09-29_11h39.03.281, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.904, 1, 0, 80, 15, 1, 79, ptay, 4, left, gabi, 001, 2020-09-29_11h39.03.281, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.6709999999999994, 1, 0, 80, 66, 1, 79, community, 9, right, gabi, 001, 2020-09-29_11h39.03.281, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.721, 1, 0, 80, 2, 1, 79, and, 3, right, gabi, 001, 2020-09-29_11h39.03.281, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.838000000000001, 1, 0, 80, 11, 1, 79, wunt, 4, left, gabi, 001, 2020-09-29_11h39.03.281, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 3.5429999999999993, 1, 0, 80, 75, 1, 79, especialty, 10, left, gabi, 001, 2020-09-29_11h39.03.281, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.769999999999996, 1, 0, 80, 7, 1, 79, fot, 3, left, gabi, 001, 2020-09-29_11h39.03.281, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.8370000000000033, 1, 0, 80, 25, 1, 79, thenk, 5, left, gabi, 001, 2020-09-29_11h39.03.281, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.7700000000000031, 1, 0, 80, 13, 1, 79, mech, 4, left, gabi, 001, 2020-09-29_11h39.03.281, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.571000000000005, 1, 0, 80, 60, 1, 79, different, 9, right, gabi, 001, 2020-09-29_11h39.03.281, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.7199999999999989, 1, 0, 80, 51, 1, 79, bussness, 8, left, gabi, 001, 2020-09-29_11h39.03.281, lexical_decision_task, 3.0.0b12, 60
