key_resp_1.keys, key_resp_1.rt, response.keys, response.corr, response.rt, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, trials.ran, trials.order, words, number_of_letters, corrAns, participant, session, date, expName, psychopyVersion, frameRate
space, 8.504, left, 1, 4.998000000000001, 1, 0, 80, 79, 1, 79, bopulation, 10, left, ibello, 001, 2021-04-15_15h57.39.925, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.3459999999999965, 1, 0, 80, 74, 1, 79, especially, 10, right, ibello, 001, 2021-04-15_15h57.39.925, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.0150000000000006, 1, 0, 80, 0, 1, 79, way, 3, right, ibello, 001, 2021-04-15_15h57.39.925, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.2139999999999986, 1, 0, 80, 47, 1, 79, compane, 7, left, ibello, 001, 2021-04-15_15h57.39.925, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.7999999999999972, 1, 0, 80, 56, 1, 79, anything, 8, right, ibello, 001, 2021-04-15_15h57.39.925, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.6980000000000004, 1, 0, 80, 70, 1, 79, everything, 10, right, ibello, 001, 2021-04-15_15h57.39.925, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.7650000000000006, 1, 0, 80, 34, 1, 79, factor, 6, right, ibello, 001, 2021-04-15_15h57.39.925, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.5859999999999985, 1, 0, 80, 66, 1, 79, community, 9, right, ibello, 001, 2021-04-15_15h57.39.925, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.828000000000003, 1, 0, 80, 27, 1, 79, whicb, 5, left, ibello, 001, 2021-04-15_15h57.39.925, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.7150000000000034, 1, 0, 80, 16, 1, 79, hour, 4, right, ibello, 001, 2021-04-15_15h57.39.925, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.9479999999999933, 1, 0, 80, 61, 1, 79, bifferent, 9, left, ibello, 001, 2021-04-15_15h57.39.925, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.131999999999998, 1, 0, 80, 12, 1, 79, much, 4, right, ibello, 001, 2021-04-15_15h57.39.925, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.6149999999999949, 1, 0, 80, 26, 1, 79, which, 5, right, ibello, 001, 2021-04-15_15h57.39.925, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.581000000000003, 1, 0, 80, 28, 1, 79, could, 5, right, ibello, 001, 2021-04-15_15h57.39.925, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.2650000000000006, 1, 0, 80, 5, 1, 79, neu, 3, left, ibello, 001, 2021-04-15_15h57.39.925, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.7349999999999994, 1, 0, 80, 50, 1, 79, business, 8, right, ibello, 001, 2021-04-15_15h57.39.925, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.7609999999999957, 1, 0, 80, 2, 1, 79, and, 3, right, ibello, 001, 2021-04-15_15h57.39.925, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 0, 3.397999999999996, 1, 0, 80, 75, 1, 79, especialty, 10, left, ibello, 001, 2021-04-15_15h57.39.925, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.783999999999999, 1, 0, 80, 10, 1, 79, want, 4, right, ibello, 001, 2021-04-15_15h57.39.925, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.8129999999999953, 1, 0, 80, 55, 1, 79, quesdion, 8, left, ibello, 001, 2021-04-15_15h57.39.925, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.2490000000000023, 1, 0, 80, 19, 1, 79, lipe, 4, left, ibello, 001, 2021-04-15_15h57.39.925, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.6979999999999933, 1, 0, 80, 42, 1, 79, country, 7, right, ibello, 001, 2021-04-15_15h57.39.925, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.0649999999999977, 1, 0, 80, 73, 1, 79, exberience, 10, left, ibello, 001, 2021-04-15_15h57.39.925, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.415999999999997, 1, 0, 80, 57, 1, 79, anythink, 8, left, ibello, 001, 2021-04-15_15h57.39.925, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.781000000000006, 1, 0, 80, 52, 1, 79, remember, 8, right, ibello, 001, 2021-04-15_15h57.39.925, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.7040000000000077, 1, 0, 80, 46, 1, 79, company, 7, right, ibello, 001, 2021-04-15_15h57.39.925, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.6090000000000089, 1, 0, 80, 48, 1, 79, believe, 7, right, ibello, 001, 2021-04-15_15h57.39.925, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.7819999999999965, 1, 0, 80, 22, 1, 79, about, 5, right, ibello, 001, 2021-04-15_15h57.39.925, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.5480000000000018, 1, 0, 80, 20, 1, 79, their, 5, right, ibello, 001, 2021-04-15_15h57.39.925, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.683000000000007, 1, 0, 80, 54, 1, 79, question, 8, right, ibello, 001, 2021-04-15_15h57.39.925, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.7319999999999993, 1, 0, 80, 29, 1, 79, courd, 5, left, ibello, 001, 2021-04-15_15h57.39.925, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 0, 1.7150000000000034, 1, 0, 80, 11, 1, 79, wunt, 4, left, ibello, 001, 2021-04-15_15h57.39.925, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.147999999999996, 1, 0, 80, 69, 1, 79, incluting, 9, left, ibello, 001, 2021-04-15_15h57.39.925, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.847999999999999, 1, 0, 80, 36, 1, 79, decade, 6, right, ibello, 001, 2021-04-15_15h57.39.925, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.6479999999999961, 1, 0, 80, 4, 1, 79, new, 3, right, ibello, 001, 2021-04-15_15h57.39.925, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.9649999999999892, 1, 0, 80, 38, 1, 79, system, 6, right, ibello, 001, 2021-04-15_15h57.39.925, lexical_decision_task, 3.0.0b12, 60
