key_resp_1.keys, key_resp_1.rt, response.keys, response.corr, response.rt, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, trials.ran, trials.order, words, number_of_letters, corrAns, participant, session, date, expName, psychopyVersion, frameRate
space, 12.279, left, 0, 1.004999999999999, 1, 0, 80, 64, 1, 79, political, 9, right, ik, 001, 2020-04-22_22h10.37.264, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.0100000000000016, 1, 0, 80, 53, 1, 79, rememper, 8, left, ik, 001, 2020-04-22_22h10.37.264, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.681000000000001, 1, 0, 80, 73, 1, 79, exberience, 10, left, ik, 001, 2020-04-22_22h10.37.264, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.480999999999998, 1, 0, 80, 60, 1, 79, different, 9, right, ik, 001, 2020-04-22_22h10.37.264, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.597999999999999, 1, 0, 80, 42, 1, 79, country, 7, right, ik, 001, 2020-04-22_22h10.37.264, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.879999999999999, 1, 0, 80, 5, 1, 79, neu, 3, left, ik, 001, 2020-04-22_22h10.37.264, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.748000000000001, 1, 0, 80, 76, 1, 79, technology, 10, right, ik, 001, 2020-04-22_22h10.37.264, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.7310000000000016, 1, 0, 80, 23, 1, 79, aboot, 5, left, ik, 001, 2020-04-22_22h10.37.264, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.814, 1, 0, 80, 38, 1, 79, system, 6, right, ik, 001, 2020-04-22_22h10.37.264, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.030000000000001, 1, 0, 80, 49, 1, 79, beliefe, 7, left, ik, 001, 2020-04-22_22h10.37.264, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.6480000000000032, 1, 0, 80, 14, 1, 79, play, 4, right, ik, 001, 2020-04-22_22h10.37.264, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.9799999999999969, 1, 0, 80, 35, 1, 79, fector, 6, left, ik, 001, 2020-04-22_22h10.37.264, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.6980000000000004, 1, 0, 80, 26, 1, 79, which, 5, right, ik, 001, 2020-04-22_22h10.37.264, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.5150000000000006, 1, 0, 80, 34, 1, 79, factor, 6, right, ik, 001, 2020-04-22_22h10.37.264, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.4810000000000016, 1, 0, 80, 10, 1, 79, want, 4, right, ik, 001, 2020-04-22_22h10.37.264, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.5820000000000007, 1, 0, 80, 7, 1, 79, fot, 3, left, ik, 001, 2020-04-22_22h10.37.264, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.713000000000001, 1, 0, 80, 47, 1, 79, compane, 7, left, ik, 001, 2020-04-22_22h10.37.264, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.7140000000000057, 1, 0, 80, 3, 1, 79, anf, 3, left, ik, 001, 2020-04-22_22h10.37.264, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.6479999999999961, 1, 0, 80, 31, 1, 79, shoule, 6, left, ik, 001, 2020-04-22_22h10.37.264, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.6310000000000002, 1, 0, 80, 44, 1, 79, between, 7, right, ik, 001, 2020-04-22_22h10.37.264, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.796999999999997, 1, 0, 80, 77, 1, 79, tochnology, 10, left, ik, 001, 2020-04-22_22h10.37.264, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.5820000000000007, 1, 0, 80, 43, 1, 79, countey, 7, left, ik, 001, 2020-04-22_22h10.37.264, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.764000000000003, 1, 0, 80, 12, 1, 79, much, 4, right, ik, 001, 2020-04-22_22h10.37.264, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.1970000000000027, 1, 0, 80, 65, 1, 79, pofitical, 9, left, ik, 001, 2020-04-22_22h10.37.264, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.730000000000004, 1, 0, 80, 68, 1, 79, including, 9, right, ik, 001, 2020-04-22_22h10.37.264, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.4649999999999963, 1, 0, 80, 2, 1, 79, and, 3, right, ik, 001, 2020-04-22_22h10.37.264, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.5970000000000013, 1, 0, 80, 17, 1, 79, heur, 4, left, ik, 001, 2020-04-22_22h10.37.264, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.497000000000007, 1, 0, 80, 56, 1, 79, anything, 8, right, ik, 001, 2020-04-22_22h10.37.264, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 0, 1.2980000000000018, 1, 0, 80, 41, 1, 79, pregram, 7, left, ik, 001, 2020-04-22_22h10.37.264, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.6310000000000002, 1, 0, 80, 0, 1, 79, way, 3, right, ik, 001, 2020-04-22_22h10.37.264, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.6310000000000002, 1, 0, 80, 66, 1, 79, community, 9, right, ik, 001, 2020-04-22_22h10.37.264, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.6479999999999961, 1, 0, 80, 54, 1, 79, question, 8, right, ik, 001, 2020-04-22_22h10.37.264, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.980000000000004, 1, 0, 80, 57, 1, 79, anythink, 8, left, ik, 001, 2020-04-22_22h10.37.264, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.2310000000000088, 1, 0, 80, 61, 1, 79, bifferent, 9, left, ik, 001, 2020-04-22_22h10.37.264, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.563999999999993, 1, 0, 80, 52, 1, 79, remember, 8, right, ik, 001, 2020-04-22_22h10.37.264, lexical_decision_task, 3.0.0b12, 60
