key_resp_1.keys, key_resp_1.rt, response.keys, response.corr, response.rt, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, trials.ran, trials.order, words, number_of_letters, corrAns, participant, session, date, expName, psychopyVersion, frameRate
space, 5.221, left, 1, 2.3949999999999996, 1, 0, 80, 59, 1, 79, pesearch, 8, left, jeanne, 001, 2020-03-26_12h50.10.434, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.7810000000000006, 1, 0, 80, 66, 1, 79, community, 9, right, jeanne, 001, 2020-03-26_12h50.10.434, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.9480000000000004, 1, 0, 80, 51, 1, 79, bussness, 8, left, jeanne, 001, 2020-03-26_12h50.10.434, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.913999999999998, 1, 0, 80, 6, 1, 79, for, 3, right, jeanne, 001, 2020-03-26_12h50.10.434, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 0, 1.6489999999999974, 1, 0, 80, 67, 1, 79, compunity, 9, left, jeanne, 001, 2020-03-26_12h50.10.434, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.6660000000000004, 1, 0, 80, 53, 1, 79, rememper, 8, left, jeanne, 001, 2020-03-26_12h50.10.434, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.7319999999999993, 1, 0, 80, 47, 1, 79, compane, 7, left, jeanne, 001, 2020-03-26_12h50.10.434, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.533999999999999, 1, 0, 80, 11, 1, 79, wunt, 4, left, jeanne, 001, 2020-03-26_12h50.10.434, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 0, 1.6129999999999995, 1, 0, 80, 75, 1, 79, especialty, 10, left, jeanne, 001, 2020-03-26_12h50.10.434, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.5479999999999983, 1, 0, 80, 1, 1, 79, woy, 3, left, jeanne, 001, 2020-03-26_12h50.10.434, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.9000000000000021, 1, 0, 80, 19, 1, 79, lipe, 4, left, jeanne, 001, 2020-03-26_12h50.10.434, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 0, 1.8830000000000027, 1, 0, 80, 31, 1, 79, shoule, 6, left, jeanne, 001, 2020-03-26_12h50.10.434, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2, 1, 0, 80, 40, 1, 79, program, 7, right, jeanne, 001, 2020-03-26_12h50.10.434, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 6.3799999999999955, 1, 0, 80, 52, 1, 79, remember, 8, right, jeanne, 001, 2020-03-26_12h50.10.434, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.716000000000001, 1, 0, 80, 50, 1, 79, business, 8, right, jeanne, 001, 2020-03-26_12h50.10.434, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.7819999999999965, 1, 0, 80, 39, 1, 79, sistem, 6, left, jeanne, 001, 2020-03-26_12h50.10.434, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.1000000000000014, 1, 0, 80, 71, 1, 79, eferything, 10, left, jeanne, 001, 2020-03-26_12h50.10.434, lexical_decision_task, 3.0.0b12, 60
