key_resp_1.keys, key_resp_1.rt, response.keys, response.corr, response.rt, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, trials.ran, trials.order, words, number_of_letters, corrAns, participant, session, date, expName, psychopyVersion, frameRate
space, 4.325000000000003, right, 0, 5.881, 1, 0, 80, 39, 1, 79, sistem, 6, left, jos, 001, 2021-12-13_09h56.42.844, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 3.0790000000000006, 1, 0, 80, 36, 1, 79, decade, 6, right, jos, 001, 2021-12-13_09h56.42.844, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 4.999000000000002, 1, 0, 80, 74, 1, 79, especially, 10, right, jos, 001, 2021-12-13_09h56.42.844, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 0, 2.7650000000000006, 1, 0, 80, 29, 1, 79, courd, 5, left, jos, 001, 2021-12-13_09h56.42.844, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 0, 1.6820000000000022, 1, 0, 80, 43, 1, 79, countey, 7, left, jos, 001, 2021-12-13_09h56.42.844, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.649000000000001, 1, 0, 80, 68, 1, 79, including, 9, right, jos, 001, 2021-12-13_09h56.42.844, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 0, 1.0180000000000007, 1, 0, 80, 52, 1, 79, remember, 8, right, jos, 001, 2021-12-13_09h56.42.844, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.0120000000000005, 1, 0, 80, 46, 1, 79, company, 7, right, jos, 001, 2021-12-13_09h56.42.844, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.017000000000003, 1, 0, 80, 67, 1, 79, compunity, 9, left, jos, 001, 2021-12-13_09h56.42.844, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 0, 1.7479999999999976, 1, 0, 80, 71, 1, 79, eferything, 10, left, jos, 001, 2021-12-13_09h56.42.844, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.0330000000000013, 1, 0, 80, 48, 1, 79, believe, 7, right, jos, 001, 2021-12-13_09h56.42.844, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 0, 1.0180000000000007, 1, 0, 80, 64, 1, 79, political, 9, right, jos, 001, 2021-12-13_09h56.42.844, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 0, 2.1799999999999997, 1, 0, 80, 57, 1, 79, anythink, 8, left, jos, 001, 2021-12-13_09h56.42.844, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.0159999999999982, 1, 0, 80, 33, 1, 79, becone, 6, left, jos, 001, 2021-12-13_09h56.42.844, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.7469999999999999, 1, 0, 80, 72, 1, 79, experience, 10, right, jos, 001, 2021-12-13_09h56.42.844, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.6829999999999998, 1, 0, 80, 14, 1, 79, play, 4, right, jos, 001, 2021-12-13_09h56.42.844, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.381999999999998, 1, 0, 80, 76, 1, 79, technology, 10, right, jos, 001, 2021-12-13_09h56.42.844, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 0, 1.347999999999999, 1, 0, 80, 75, 1, 79, especialty, 10, left, jos, 001, 2021-12-13_09h56.42.844, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 0, 1.4149999999999991, 1, 0, 80, 45, 1, 79, bedween, 7, left, jos, 001, 2021-12-13_09h56.42.844, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.814, 1, 0, 80, 30, 1, 79, should, 6, right, jos, 001, 2021-12-13_09h56.42.844, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 0, 2.0829999999999984, 1, 0, 80, 1, 1, 79, woy, 3, left, jos, 001, 2021-12-13_09h56.42.844, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 0, 16.152, 1, 0, 80, 59, 1, 79, pesearch, 8, left, jos, 001, 2021-12-13_09h56.42.844, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 0, 1.527000000000001, 1, 0, 80, 21, 1, 79, theyr, 5, left, jos, 001, 2021-12-13_09h56.42.844, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 0, 1.6319999999999908, 1, 0, 80, 47, 1, 79, compane, 7, left, jos, 001, 2021-12-13_09h56.42.844, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 4.298000000000002, 1, 0, 80, 28, 1, 79, could, 5, right, jos, 001, 2021-12-13_09h56.42.844, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 0, 1.331000000000003, 1, 0, 80, 69, 1, 79, incluting, 9, left, jos, 001, 2021-12-13_09h56.42.844, lexical_decision_task, 3.0.0b12, 60
