key_resp_1.keys, key_resp_1.rt, response.keys, response.corr, response.rt, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, trials.ran, trials.order, words, number_of_letters, corrAns, participant, session, date, expName, psychopyVersion, frameRate
space, 16.438000000000002, right, 1, 3.896000000000001, 1, 0, 80, 38, 1, 79, system, 6, right, k, 001, 2021-07-19_13h15.52.969, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 3.2959999999999923, 1, 0, 80, 0, 1, 79, way, 3, right, k, 001, 2021-07-19_13h15.52.969, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.9140000000000015, 1, 0, 80, 12, 1, 79, much, 4, right, k, 001, 2021-07-19_13h15.52.969, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.796999999999997, 1, 0, 80, 44, 1, 79, between, 7, right, k, 001, 2021-07-19_13h15.52.969, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.9980000000000047, 1, 0, 80, 24, 1, 79, think, 5, right, k, 001, 2021-07-19_13h15.52.969, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 3.030000000000001, 1, 0, 80, 19, 1, 79, lipe, 4, left, k, 001, 2021-07-19_13h15.52.969, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.9470000000000027, 1, 0, 80, 6, 1, 79, for, 3, right, k, 001, 2021-07-19_13h15.52.969, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.9480000000000075, 1, 0, 80, 33, 1, 79, becone, 6, left, k, 001, 2021-07-19_13h15.52.969, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 3.8800000000000097, 1, 0, 80, 31, 1, 79, shoule, 6, left, k, 001, 2021-07-19_13h15.52.969, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.4950000000000045, 1, 0, 80, 56, 1, 79, anything, 8, right, k, 001, 2021-07-19_13h15.52.969, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.4810000000000088, 1, 0, 80, 45, 1, 79, bedween, 7, left, k, 001, 2021-07-19_13h15.52.969, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 3.9630000000000223, 1, 0, 80, 29, 1, 79, courd, 5, left, k, 001, 2021-07-19_13h15.52.969, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.430000000000007, 1, 0, 80, 73, 1, 79, exberience, 10, left, k, 001, 2021-07-19_13h15.52.969, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.0960000000000036, 1, 0, 80, 4, 1, 79, new, 3, right, k, 001, 2021-07-19_13h15.52.969, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.281000000000006, 1, 0, 80, 52, 1, 79, remember, 8, right, k, 001, 2021-07-19_13h15.52.969, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.7480000000000189, 1, 0, 80, 70, 1, 79, everything, 10, right, k, 001, 2021-07-19_13h15.52.969, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 4.546000000000021, 1, 0, 80, 79, 1, 79, bopulation, 10, left, k, 001, 2021-07-19_13h15.52.969, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.1980000000000075, 1, 0, 80, 22, 1, 79, about, 5, right, k, 001, 2021-07-19_13h15.52.969, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.2809999999999775, 1, 0, 80, 54, 1, 79, question, 8, right, k, 001, 2021-07-19_13h15.52.969, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.598000000000013, 1, 0, 80, 11, 1, 79, wunt, 4, left, k, 001, 2021-07-19_13h15.52.969, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.0800000000000125, 1, 0, 80, 46, 1, 79, company, 7, right, k, 001, 2021-07-19_13h15.52.969, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.8629999999999995, 1, 0, 80, 21, 1, 79, theyr, 5, left, k, 001, 2021-07-19_13h15.52.969, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.9639999999999986, 1, 0, 80, 28, 1, 79, could, 5, right, k, 001, 2021-07-19_13h15.52.969, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 3.8799999999999955, 1, 0, 80, 37, 1, 79, secade, 6, left, k, 001, 2021-07-19_13h15.52.969, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.9629999999999939, 1, 0, 80, 34, 1, 79, factor, 6, right, k, 001, 2021-07-19_13h15.52.969, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.1469999999999914, 1, 0, 80, 76, 1, 79, technology, 10, right, k, 001, 2021-07-19_13h15.52.969, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 4.181000000000012, 1, 0, 80, 43, 1, 79, countey, 7, left, k, 001, 2021-07-19_13h15.52.969, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.7630000000000052, 1, 0, 80, 8, 1, 79, out, 3, right, k, 001, 2021-07-19_13h15.52.969, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.2819999999999823, 1, 0, 80, 25, 1, 79, thenk, 5, left, k, 001, 2021-07-19_13h15.52.969, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.430000000000007, 1, 0, 80, 41, 1, 79, pregram, 7, left, k, 001, 2021-07-19_13h15.52.969, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 3.731000000000023, 1, 0, 80, 16, 1, 79, hour, 4, right, k, 001, 2021-07-19_13h15.52.969, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.5810000000000173, 1, 0, 80, 77, 1, 79, tochnology, 10, left, k, 001, 2021-07-19_13h15.52.969, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 3.714999999999975, 1, 0, 80, 35, 1, 79, fector, 6, left, k, 001, 2021-07-19_13h15.52.969, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.813999999999993, 1, 0, 80, 26, 1, 79, which, 5, right, k, 001, 2021-07-19_13h15.52.969, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.834000000000003, 1, 0, 80, 23, 1, 79, aboot, 5, left, k, 001, 2021-07-19_13h15.52.969, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.2600000000000193, 1, 0, 80, 10, 1, 79, want, 4, right, k, 001, 2021-07-19_13h15.52.969, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.8640000000000043, 1, 0, 80, 50, 1, 79, business, 8, right, k, 001, 2021-07-19_13h15.52.969, lexical_decision_task, 3.0.0b12, 60
