key_resp_1.keys, key_resp_1.rt, response.keys, response.corr, response.rt, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, trials.ran, trials.order, words, number_of_letters, corrAns, participant, session, date, expName, psychopyVersion, frameRate
space, 34.149, left, 1, 2.1340000000000003, 1, 0, 80, 47, 1, 79, compane, 7, left, kim, 001, 2021-04-22_13h05.10.675, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.121000000000002, 1, 0, 80, 59, 1, 79, pesearch, 8, left, kim, 001, 2021-04-22_13h05.10.675, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.103999999999999, 1, 0, 80, 12, 1, 79, much, 4, right, kim, 001, 2021-04-22_13h05.10.675, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.7029999999999887, 1, 0, 80, 24, 1, 79, think, 5, right, kim, 001, 2021-04-22_13h05.10.675, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.2720000000000056, 1, 0, 80, 65, 1, 79, pofitical, 9, left, kim, 001, 2021-04-22_13h05.10.675, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.3220000000000027, 1, 0, 80, 70, 1, 79, everything, 10, right, kim, 001, 2021-04-22_13h05.10.675, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.6370000000000005, 1, 0, 80, 0, 1, 79, way, 3, right, kim, 001, 2021-04-22_13h05.10.675, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.7199999999999989, 1, 0, 80, 29, 1, 79, courd, 5, left, kim, 001, 2021-04-22_13h05.10.675, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.0049999999999955, 1, 0, 80, 75, 1, 79, especialty, 10, left, kim, 001, 2021-04-22_13h05.10.675, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.6539999999999964, 1, 0, 80, 3, 1, 79, anf, 3, left, kim, 001, 2021-04-22_13h05.10.675, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.372, 1, 0, 80, 76, 1, 79, technology, 10, right, kim, 001, 2021-04-22_13h05.10.675, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.721999999999994, 1, 0, 80, 15, 1, 79, ptay, 4, left, kim, 001, 2021-04-22_13h05.10.675, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 4.415999999999997, 1, 0, 80, 35, 1, 79, fector, 6, left, kim, 001, 2021-04-22_13h05.10.675, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.7650000000000006, 1, 0, 80, 27, 1, 79, whicb, 5, left, kim, 001, 2021-04-22_13h05.10.675, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.2049999999999983, 1, 0, 80, 17, 1, 79, heur, 4, left, kim, 001, 2021-04-22_13h05.10.675, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.7239999999999895, 1, 0, 80, 56, 1, 79, anything, 8, right, kim, 001, 2021-04-22_13h05.10.675, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.8199999999999932, 1, 0, 80, 22, 1, 79, about, 5, right, kim, 001, 2021-04-22_13h05.10.675, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.8829999999999956, 1, 0, 80, 45, 1, 79, bedween, 7, left, kim, 001, 2021-04-22_13h05.10.675, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.9039999999999964, 1, 0, 80, 34, 1, 79, factor, 6, right, kim, 001, 2021-04-22_13h05.10.675, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.8199999999999932, 1, 0, 80, 32, 1, 79, become, 6, right, kim, 001, 2021-04-22_13h05.10.675, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.7209999999999894, 1, 0, 80, 58, 1, 79, research, 8, right, kim, 001, 2021-04-22_13h05.10.675, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.7540000000000049, 1, 0, 80, 23, 1, 79, aboot, 5, left, kim, 001, 2021-04-22_13h05.10.675, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 10.263000000000005, 1, 0, 80, 36, 1, 79, decade, 6, right, kim, 001, 2021-04-22_13h05.10.675, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 6.769999999999996, 1, 0, 80, 73, 1, 79, exberience, 10, left, kim, 001, 2021-04-22_13h05.10.675, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.948999999999998, 1, 0, 80, 46, 1, 79, company, 7, right, kim, 001, 2021-04-22_13h05.10.675, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.9039999999999964, 1, 0, 80, 13, 1, 79, mech, 4, left, kim, 001, 2021-04-22_13h05.10.675, lexical_decision_task, 3.0.0b12, 60
