key_resp_1.keys, key_resp_1.rt, response.keys, response.corr, response.rt, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, trials.ran, trials.order, words, number_of_letters, corrAns, participant, session, date, expName, psychopyVersion, frameRate
space, 6.423, right, 1, 4.693000000000001, 1, 0, 80, 74, 1, 79, especially, 10, right, kk, 001, 2020-03-05_23h56.31.217, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.6950000000000003, 1, 0, 80, 46, 1, 79, company, 7, right, kk, 001, 2020-03-05_23h56.31.217, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.4819999999999993, 1, 0, 80, 44, 1, 79, between, 7, right, kk, 001, 2020-03-05_23h56.31.217, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.014999999999997, 1, 0, 80, 1, 1, 79, woy, 3, left, kk, 001, 2020-03-05_23h56.31.217, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.716000000000001, 1, 0, 80, 25, 1, 79, thenk, 5, left, kk, 001, 2020-03-05_23h56.31.217, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.6999999999999993, 1, 0, 80, 49, 1, 79, beliefe, 7, left, kk, 001, 2020-03-05_23h56.31.217, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.1999999999999993, 1, 0, 80, 76, 1, 79, technology, 10, right, kk, 001, 2020-03-05_23h56.31.217, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.9819999999999993, 1, 0, 80, 66, 1, 79, community, 9, right, kk, 001, 2020-03-05_23h56.31.217, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.698999999999998, 1, 0, 80, 20, 1, 79, their, 5, right, kk, 001, 2020-03-05_23h56.31.217, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.649000000000001, 1, 0, 80, 8, 1, 79, out, 3, right, kk, 001, 2020-03-05_23h56.31.217, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.6169999999999973, 1, 0, 80, 12, 1, 79, much, 4, right, kk, 001, 2020-03-05_23h56.31.217, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.7820000000000036, 1, 0, 80, 72, 1, 79, experience, 10, right, kk, 001, 2020-03-05_23h56.31.217, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.6499999999999986, 1, 0, 80, 13, 1, 79, mech, 4, left, kk, 001, 2020-03-05_23h56.31.217, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.7319999999999993, 1, 0, 80, 51, 1, 79, bussness, 8, left, kk, 001, 2020-03-05_23h56.31.217, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.698999999999998, 1, 0, 80, 33, 1, 79, becone, 6, left, kk, 001, 2020-03-05_23h56.31.217, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.6330000000000027, 1, 0, 80, 79, 1, 79, bopulation, 10, left, kk, 001, 2020-03-05_23h56.31.217, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.6329999999999956, 1, 0, 80, 34, 1, 79, factor, 6, right, kk, 001, 2020-03-05_23h56.31.217, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 3.1500000000000057, 1, 0, 80, 78, 1, 79, population, 10, right, kk, 001, 2020-03-05_23h56.31.217, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 0, 1.6829999999999998, 1, 0, 80, 23, 1, 79, aboot, 5, left, kk, 001, 2020-03-05_23h56.31.217, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.5989999999999966, 1, 0, 80, 3, 1, 79, anf, 3, left, kk, 001, 2020-03-05_23h56.31.217, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.8500000000000014, 1, 0, 80, 68, 1, 79, including, 9, right, kk, 001, 2020-03-05_23h56.31.217, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.198999999999998, 1, 0, 80, 6, 1, 79, for, 3, right, kk, 001, 2020-03-05_23h56.31.217, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.7989999999999995, 1, 0, 80, 77, 1, 79, tochnology, 10, left, kk, 001, 2020-03-05_23h56.31.217, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.6999999999999957, 1, 0, 80, 30, 1, 79, should, 6, right, kk, 001, 2020-03-05_23h56.31.217, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.149000000000001, 1, 0, 80, 37, 1, 79, secade, 6, left, kk, 001, 2020-03-05_23h56.31.217, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.8160000000000025, 1, 0, 80, 40, 1, 79, program, 7, right, kk, 001, 2020-03-05_23h56.31.217, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.450000000000003, 1, 0, 80, 21, 1, 79, theyr, 5, left, kk, 001, 2020-03-05_23h56.31.217, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.316999999999993, 1, 0, 80, 24, 1, 79, think, 5, right, kk, 001, 2020-03-05_23h56.31.217, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.4150000000000063, 1, 0, 80, 42, 1, 79, country, 7, right, kk, 001, 2020-03-05_23h56.31.217, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.683000000000007, 1, 0, 80, 35, 1, 79, fector, 6, left, kk, 001, 2020-03-05_23h56.31.217, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.933000000000007, 1, 0, 80, 69, 1, 79, incluting, 9, left, kk, 001, 2020-03-05_23h56.31.217, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 0, 2.5489999999999924, 1, 0, 80, 9, 1, 79, ous, 3, left, kk, 001, 2020-03-05_23h56.31.217, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.6500000000000057, 1, 0, 80, 52, 1, 79, remember, 8, right, kk, 001, 2020-03-05_23h56.31.217, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.5829999999999984, 1, 0, 80, 22, 1, 79, about, 5, right, kk, 001, 2020-03-05_23h56.31.217, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.6499999999999915, 1, 0, 80, 61, 1, 79, bifferent, 9, left, kk, 001, 2020-03-05_23h56.31.217, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 0, 2.0330000000000013, 1, 0, 80, 53, 1, 79, rememper, 8, left, kk, 001, 2020-03-05_23h56.31.217, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.6330000000000098, 1, 0, 80, 2, 1, 79, and, 3, right, kk, 001, 2020-03-05_23h56.31.217, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.299999999999997, 1, 0, 80, 62, 1, 79, important, 9, right, kk, 001, 2020-03-05_23h56.31.217, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 0, 1.948999999999998, 1, 0, 80, 31, 1, 79, shoule, 6, left, kk, 001, 2020-03-05_23h56.31.217, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.649000000000001, 1, 0, 80, 0, 1, 79, way, 3, right, kk, 001, 2020-03-05_23h56.31.217, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.7329999999999899, 1, 0, 80, 26, 1, 79, which, 5, right, kk, 001, 2020-03-05_23h56.31.217, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.7650000000000006, 1, 0, 80, 41, 1, 79, pregram, 7, left, kk, 001, 2020-03-05_23h56.31.217, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.8329999999999984, 1, 0, 80, 56, 1, 79, anything, 8, right, kk, 001, 2020-03-05_23h56.31.217, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.8329999999999984, 1, 0, 80, 54, 1, 79, question, 8, right, kk, 001, 2020-03-05_23h56.31.217, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.7650000000000006, 1, 0, 80, 29, 1, 79, courd, 5, left, kk, 001, 2020-03-05_23h56.31.217, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.1500000000000057, 1, 0, 80, 32, 1, 79, become, 6, right, kk, 001, 2020-03-05_23h56.31.217, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 0, 1.3329999999999984, 1, 0, 80, 5, 1, 79, neu, 3, left, kk, 001, 2020-03-05_23h56.31.217, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 0, 1.0159999999999911, 1, 0, 80, 57, 1, 79, anythink, 8, left, kk, 001, 2020-03-05_23h56.31.217, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 0, 1.0160000000000053, 1, 0, 80, 7, 1, 79, fot, 3, left, kk, 001, 2020-03-05_23h56.31.217, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 0, 1, 1, 0, 80, 47, 1, 79, compane, 7, left, kk, 001, 2020-03-05_23h56.31.217, lexical_decision_task, 3.0.0b12, 60
