key_resp_1.keys, key_resp_1.rt, response.keys, response.corr, response.rt, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, trials.ran, trials.order, words, number_of_letters, corrAns, participant, session, date, expName, psychopyVersion, frameRate
space, 8.706, right, 0, 1.0159999999999982, 1, 0, 80, 35, 1, 79, fector, 6, left, lisa, 001, 2022-03-30_13h39.50.121, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 3.1789999999999985, 1, 0, 80, 16, 1, 79, hour, 4, right, lisa, 001, 2022-03-30_13h39.50.121, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 0, 1.0169999999999995, 1, 0, 80, 8, 1, 79, out, 3, right, lisa, 001, 2022-03-30_13h39.50.121, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.014999999999997, 1, 0, 80, 29, 1, 79, courd, 5, left, lisa, 001, 2022-03-30_13h39.50.121, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 0, 1.0169999999999995, 1, 0, 80, 66, 1, 79, community, 9, right, lisa, 001, 2022-03-30_13h39.50.121, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.0159999999999982, 1, 0, 80, 43, 1, 79, countey, 7, left, lisa, 001, 2022-03-30_13h39.50.121, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.0150000000000006, 1, 0, 80, 9, 1, 79, ous, 3, left, lisa, 001, 2022-03-30_13h39.50.121, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 0, 1.0159999999999982, 1, 0, 80, 10, 1, 79, want, 4, right, lisa, 001, 2022-03-30_13h39.50.121, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 0, 1.0150000000000006, 1, 0, 80, 38, 1, 79, system, 6, right, lisa, 001, 2022-03-30_13h39.50.121, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.764999999999997, 1, 0, 80, 6, 1, 79, for, 3, right, lisa, 001, 2022-03-30_13h39.50.121, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.0820000000000007, 1, 0, 80, 68, 1, 79, including, 9, right, lisa, 001, 2022-03-30_13h39.50.121, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.666000000000004, 1, 0, 80, 14, 1, 79, play, 4, right, lisa, 001, 2022-03-30_13h39.50.121, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.25, 1, 0, 80, 58, 1, 79, research, 8, right, lisa, 001, 2022-03-30_13h39.50.121, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 0, 1.5629999999999953, 1, 0, 80, 15, 1, 79, ptay, 4, left, lisa, 001, 2022-03-30_13h39.50.121, lexical_decision_task, 3.0.0b12, 60
