key_resp_1.keys, key_resp_1.rt, response.keys, response.corr, response.rt, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, trials.ran, trials.order, words, number_of_letters, corrAns, participant, session, date, expName, psychopyVersion, frameRate
space, 49.629, right, 1, 1.8699999999999974, 1, 0, 80, 66, 1, 79, community, 9, right, lm, 001, 2020-06-03_18h16.27.921, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.7149999999999963, 1, 0, 80, 46, 1, 79, company, 7, right, lm, 001, 2020-06-03_18h16.27.921, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.948999999999998, 1, 0, 80, 53, 1, 79, rememper, 8, left, lm, 001, 2020-06-03_18h16.27.921, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.8490000000000038, 1, 0, 80, 10, 1, 79, want, 4, right, lm, 001, 2020-06-03_18h16.27.921, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.75, 1, 0, 80, 34, 1, 79, factor, 6, right, lm, 001, 2020-06-03_18h16.27.921, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.882000000000005, 1, 0, 80, 13, 1, 79, mech, 4, left, lm, 001, 2020-06-03_18h16.27.921, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.3659999999999997, 1, 0, 80, 69, 1, 79, incluting, 9, left, lm, 001, 2020-06-03_18h16.27.921, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.882000000000005, 1, 0, 80, 19, 1, 79, lipe, 4, left, lm, 001, 2020-06-03_18h16.27.921, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.7329999999999899, 1, 0, 80, 62, 1, 79, important, 9, right, lm, 001, 2020-06-03_18h16.27.921, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.01700000000001, 1, 0, 80, 67, 1, 79, compunity, 9, left, lm, 001, 2020-06-03_18h16.27.921, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.8980000000000103, 1, 0, 80, 73, 1, 79, exberience, 10, left, lm, 001, 2020-06-03_18h16.27.921, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.948999999999998, 1, 0, 80, 68, 1, 79, including, 9, right, lm, 001, 2020-06-03_18h16.27.921, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.198999999999998, 1, 0, 80, 63, 1, 79, importent, 9, left, lm, 001, 2020-06-03_18h16.27.921, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.8649999999999949, 1, 0, 80, 7, 1, 79, fot, 3, left, lm, 001, 2020-06-03_18h16.27.921, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.9819999999999993, 1, 0, 80, 18, 1, 79, line, 4, right, lm, 001, 2020-06-03_18h16.27.921, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.948999999999998, 1, 0, 80, 52, 1, 79, remember, 8, right, lm, 001, 2020-06-03_18h16.27.921, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.9500000000000028, 1, 0, 80, 79, 1, 79, bopulation, 10, left, lm, 001, 2020-06-03_18h16.27.921, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.9979999999999905, 1, 0, 80, 17, 1, 79, heur, 4, left, lm, 001, 2020-06-03_18h16.27.921, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.097999999999999, 1, 0, 80, 23, 1, 79, aboot, 5, left, lm, 001, 2020-06-03_18h16.27.921, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.2990000000000066, 1, 0, 80, 51, 1, 79, bussness, 8, left, lm, 001, 2020-06-03_18h16.27.921, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.781000000000006, 1, 0, 80, 29, 1, 79, courd, 5, left, lm, 001, 2020-06-03_18h16.27.921, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.733000000000004, 1, 0, 80, 31, 1, 79, shoule, 6, left, lm, 001, 2020-06-03_18h16.27.921, lexical_decision_task, 3.0.0b12, 60
