key_resp_1.keys, key_resp_1.rt, response.keys, response.corr, response.rt, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, trials.ran, trials.order, words, number_of_letters, corrAns, participant, session, date, expName, psychopyVersion, frameRate
space, 6.827999999999998, left, 1, 1.0060000000000002, 1, 0, 80, 7, 1, 79, fot, 3, left, oooo, 001, 2022-09-21_10h59.02.359, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.9780000000000015, 1, 0, 80, 63, 1, 79, importent, 9, left, oooo, 001, 2022-09-21_10h59.02.359, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.7000000000000028, 1, 0, 80, 19, 1, 79, lipe, 4, left, oooo, 001, 2022-09-21_10h59.02.359, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.4649999999999999, 1, 0, 80, 76, 1, 79, technology, 10, right, oooo, 001, 2022-09-21_10h59.02.359, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.565999999999999, 1, 0, 80, 38, 1, 79, system, 6, right, oooo, 001, 2022-09-21_10h59.02.359, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.5990000000000002, 1, 0, 80, 28, 1, 79, could, 5, right, oooo, 001, 2022-09-21_10h59.02.359, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.5660000000000025, 1, 0, 80, 15, 1, 79, ptay, 4, left, oooo, 001, 2022-09-21_10h59.02.359, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.4839999999999982, 1, 0, 80, 54, 1, 79, question, 8, right, oooo, 001, 2022-09-21_10h59.02.359, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.4000000000000021, 1, 0, 80, 48, 1, 79, believe, 7, right, oooo, 001, 2022-09-21_10h59.02.359, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.4839999999999982, 1, 0, 80, 8, 1, 79, out, 3, right, oooo, 001, 2022-09-21_10h59.02.359, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.4989999999999988, 1, 0, 80, 53, 1, 79, rememper, 8, left, oooo, 001, 2022-09-21_10h59.02.359, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.5650000000000048, 1, 0, 80, 33, 1, 79, becone, 6, left, oooo, 001, 2022-09-21_10h59.02.359, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.5840000000000032, 1, 0, 80, 11, 1, 79, wunt, 4, left, oooo, 001, 2022-09-21_10h59.02.359, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.5970000000000013, 1, 0, 80, 47, 1, 79, compane, 7, left, oooo, 001, 2022-09-21_10h59.02.359, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.5660000000000025, 1, 0, 80, 27, 1, 79, whicb, 5, left, oooo, 001, 2022-09-21_10h59.02.359, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.5320000000000036, 1, 0, 80, 30, 1, 79, should, 6, right, oooo, 001, 2022-09-21_10h59.02.359, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.618000000000002, 1, 0, 80, 59, 1, 79, pesearch, 8, left, oooo, 001, 2022-09-21_10h59.02.359, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.764000000000003, 1, 0, 80, 64, 1, 79, political, 9, right, oooo, 001, 2022-09-21_10h59.02.359, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.551000000000002, 1, 0, 80, 3, 1, 79, anf, 3, left, oooo, 001, 2022-09-21_10h59.02.359, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.5, 1, 0, 80, 2, 1, 79, and, 3, right, oooo, 001, 2022-09-21_10h59.02.359, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.6649999999999991, 1, 0, 80, 45, 1, 79, bedween, 7, left, oooo, 001, 2022-09-21_10h59.02.359, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 0, 1.715999999999994, 1, 0, 80, 21, 1, 79, theyr, 5, left, oooo, 001, 2022-09-21_10h59.02.359, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.716000000000001, 1, 0, 80, 25, 1, 79, thenk, 5, left, oooo, 001, 2022-09-21_10h59.02.359, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.7509999999999977, 1, 0, 80, 50, 1, 79, business, 8, right, oooo, 001, 2022-09-21_10h59.02.359, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.5, 1, 0, 80, 36, 1, 79, decade, 6, right, oooo, 001, 2022-09-21_10h59.02.359, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.5330000000000013, 1, 0, 80, 56, 1, 79, anything, 8, right, oooo, 001, 2022-09-21_10h59.02.359, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.7659999999999982, 1, 0, 80, 55, 1, 79, quesdion, 8, left, oooo, 001, 2022-09-21_10h59.02.359, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.716000000000001, 1, 0, 80, 34, 1, 79, factor, 6, right, oooo, 001, 2022-09-21_10h59.02.359, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.8830000000000027, 1, 0, 80, 74, 1, 79, especially, 10, right, oooo, 001, 2022-09-21_10h59.02.359, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.7339999999999947, 1, 0, 80, 70, 1, 79, everything, 10, right, oooo, 001, 2022-09-21_10h59.02.359, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.3979999999999961, 1, 0, 80, 44, 1, 79, between, 7, right, oooo, 001, 2022-09-21_10h59.02.359, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.551000000000002, 1, 0, 80, 0, 1, 79, way, 3, right, oooo, 001, 2022-09-21_10h59.02.359, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.7319999999999993, 1, 0, 80, 43, 1, 79, countey, 7, left, oooo, 001, 2022-09-21_10h59.02.359, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 0, 1.698999999999998, 1, 0, 80, 5, 1, 79, neu, 3, left, oooo, 001, 2022-09-21_10h59.02.359, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.6310000000000002, 1, 0, 80, 26, 1, 79, which, 5, right, oooo, 001, 2022-09-21_10h59.02.359, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.5999999999999943, 1, 0, 80, 14, 1, 79, play, 4, right, oooo, 001, 2022-09-21_10h59.02.359, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 0, 1.4819999999999993, 1, 0, 80, 57, 1, 79, anythink, 8, left, oooo, 001, 2022-09-21_10h59.02.359, lexical_decision_task, 3.0.0b12, 60
