key_resp_1.keys, key_resp_1.rt, response.keys, response.corr, response.rt, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, trials.ran, trials.order, words, number_of_letters, corrAns, participant, session, date, expName, psychopyVersion, frameRate
space, 48.361999999999995, right, 0, 4.778000000000006, 1, 0, 80, 63, 1, 79, importent, 9, left, sam, 001, 2021-02-08_20h04.15.211, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.894999999999996, 1, 0, 80, 32, 1, 79, become, 6, right, sam, 001, 2021-02-08_20h04.15.211, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.347999999999999, 1, 0, 80, 62, 1, 79, important, 9, right, sam, 001, 2021-02-08_20h04.15.211, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.9789999999999992, 1, 0, 80, 58, 1, 79, research, 8, right, sam, 001, 2021-02-08_20h04.15.211, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.2479999999999905, 1, 0, 80, 5, 1, 79, neu, 3, left, sam, 001, 2021-02-08_20h04.15.211, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.581000000000003, 1, 0, 80, 28, 1, 79, could, 5, right, sam, 001, 2021-02-08_20h04.15.211, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.0470000000000113, 1, 0, 80, 27, 1, 79, whicb, 5, left, sam, 001, 2021-02-08_20h04.15.211, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.6509999999999962, 1, 0, 80, 2, 1, 79, and, 3, right, sam, 001, 2021-02-08_20h04.15.211, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.6949999999999932, 1, 0, 80, 42, 1, 79, country, 7, right, sam, 001, 2021-02-08_20h04.15.211, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.9009999999999962, 1, 0, 80, 4, 1, 79, new, 3, right, sam, 001, 2021-02-08_20h04.15.211, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.9230000000000018, 1, 0, 80, 67, 1, 79, compunity, 9, left, sam, 001, 2021-02-08_20h04.15.211, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.8569999999999993, 1, 0, 80, 9, 1, 79, ous, 3, left, sam, 001, 2021-02-08_20h04.15.211, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.671999999999997, 1, 0, 80, 30, 1, 79, should, 6, right, sam, 001, 2021-02-08_20h04.15.211, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.217000000000013, 1, 0, 80, 39, 1, 79, sistem, 6, left, sam, 001, 2021-02-08_20h04.15.211, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.016999999999996, 1, 0, 80, 73, 1, 79, exberience, 10, left, sam, 001, 2021-02-08_20h04.15.211, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.6550000000000011, 1, 0, 80, 6, 1, 79, for, 3, right, sam, 001, 2021-02-08_20h04.15.211, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.6310000000000002, 1, 0, 80, 38, 1, 79, system, 6, right, sam, 001, 2021-02-08_20h04.15.211, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.597999999999999, 1, 0, 80, 46, 1, 79, company, 7, right, sam, 001, 2021-02-08_20h04.15.211, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.6460000000000008, 1, 0, 80, 36, 1, 79, decade, 6, right, sam, 001, 2021-02-08_20h04.15.211, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.563999999999993, 1, 0, 80, 52, 1, 79, remember, 8, right, sam, 001, 2021-02-08_20h04.15.211, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.698999999999998, 1, 0, 80, 53, 1, 79, rememper, 8, left, sam, 001, 2021-02-08_20h04.15.211, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.6170000000000044, 1, 0, 80, 24, 1, 79, think, 5, right, sam, 001, 2021-02-08_20h04.15.211, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.5969999999999942, 1, 0, 80, 47, 1, 79, compane, 7, left, sam, 001, 2021-02-08_20h04.15.211, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.6480000000000103, 1, 0, 80, 16, 1, 79, hour, 4, right, sam, 001, 2021-02-08_20h04.15.211, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.013999999999996, 1, 0, 80, 34, 1, 79, factor, 6, right, sam, 001, 2021-02-08_20h04.15.211, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.7139999999999986, 1, 0, 80, 66, 1, 79, community, 9, right, sam, 001, 2021-02-08_20h04.15.211, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.831000000000003, 1, 0, 80, 71, 1, 79, eferything, 10, left, sam, 001, 2021-02-08_20h04.15.211, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.730000000000004, 1, 0, 80, 54, 1, 79, question, 8, right, sam, 001, 2021-02-08_20h04.15.211, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.6800000000000068, 1, 0, 80, 72, 1, 79, experience, 10, right, sam, 001, 2021-02-08_20h04.15.211, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.5180000000000007, 1, 0, 80, 18, 1, 79, line, 4, right, sam, 001, 2021-02-08_20h04.15.211, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.656000000000006, 1, 0, 80, 70, 1, 79, everything, 10, right, sam, 001, 2021-02-08_20h04.15.211, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.7479999999999905, 1, 0, 80, 65, 1, 79, pofitical, 9, left, sam, 001, 2021-02-08_20h04.15.211, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.5720000000000027, 1, 0, 80, 61, 1, 79, bifferent, 9, left, sam, 001, 2021-02-08_20h04.15.211, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.980000000000004, 1, 0, 80, 74, 1, 79, especially, 10, right, sam, 001, 2021-02-08_20h04.15.211, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.5480000000000018, 1, 0, 80, 26, 1, 79, which, 5, right, sam, 001, 2021-02-08_20h04.15.211, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.7229999999999848, 1, 0, 80, 64, 1, 79, political, 9, right, sam, 001, 2021-02-08_20h04.15.211, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.688999999999993, 1, 0, 80, 48, 1, 79, believe, 7, right, sam, 001, 2021-02-08_20h04.15.211, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.8410000000000082, 1, 0, 80, 25, 1, 79, thenk, 5, left, sam, 001, 2021-02-08_20h04.15.211, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.6880000000000166, 1, 0, 80, 8, 1, 79, out, 3, right, sam, 001, 2021-02-08_20h04.15.211, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.6970000000000027, 1, 0, 80, 40, 1, 79, program, 7, right, sam, 001, 2021-02-08_20h04.15.211, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.9809999999999945, 1, 0, 80, 19, 1, 79, lipe, 4, left, sam, 001, 2021-02-08_20h04.15.211, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.6480000000000246, 1, 0, 80, 21, 1, 79, theyr, 5, left, sam, 001, 2021-02-08_20h04.15.211, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.5910000000000082, 1, 0, 80, 31, 1, 79, shoule, 6, left, sam, 001, 2021-02-08_20h04.15.211, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.6149999999999807, 1, 0, 80, 55, 1, 79, quesdion, 8, left, sam, 001, 2021-02-08_20h04.15.211, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.582000000000022, 1, 0, 80, 14, 1, 79, play, 4, right, sam, 001, 2021-02-08_20h04.15.211, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.6919999999999789, 1, 0, 80, 0, 1, 79, way, 3, right, sam, 001, 2021-02-08_20h04.15.211, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.688999999999993, 1, 0, 80, 20, 1, 79, their, 5, right, sam, 001, 2021-02-08_20h04.15.211, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.8770000000000095, 1, 0, 80, 43, 1, 79, countey, 7, left, sam, 001, 2021-02-08_20h04.15.211, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.7299999999999898, 1, 0, 80, 51, 1, 79, bussness, 8, left, sam, 001, 2021-02-08_20h04.15.211, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.6850000000000023, 1, 0, 80, 33, 1, 79, becone, 6, left, sam, 001, 2021-02-08_20h04.15.211, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.6780000000000257, 1, 0, 80, 37, 1, 79, secade, 6, left, sam, 001, 2021-02-08_20h04.15.211, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.796999999999997, 1, 0, 80, 17, 1, 79, heur, 4, left, sam, 001, 2021-02-08_20h04.15.211, lexical_decision_task, 3.0.0b12, 60
