key_resp_1.keys, key_resp_1.rt, response.keys, response.corr, response.rt, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, trials.ran, trials.order, words, number_of_letters, corrAns, participant, session, date, expName, psychopyVersion, frameRate
space, 8.972999999999999, right, 1, 3.346, 1, 0, 80, 34, 1, 79, factor, 6, right, sdf, 001, 2022-04-06_18h03.24.340, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.9130000000000003, 1, 0, 80, 70, 1, 79, everything, 10, right, sdf, 001, 2022-04-06_18h03.24.340, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.215, 1, 0, 80, 21, 1, 79, theyr, 5, left, sdf, 001, 2022-04-06_18h03.24.340, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.9520000000000017, 1, 0, 80, 76, 1, 79, technology, 10, right, sdf, 001, 2022-04-06_18h03.24.340, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2, 1, 0, 80, 25, 1, 79, thenk, 5, left, sdf, 001, 2022-04-06_18h03.24.340, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 0, 1.9009999999999998, 1, 0, 80, 69, 1, 79, incluting, 9, left, sdf, 001, 2022-04-06_18h03.24.340, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.5009999999999977, 1, 0, 80, 73, 1, 79, exberience, 10, left, sdf, 001, 2022-04-06_18h03.24.340, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.4349999999999987, 1, 0, 80, 48, 1, 79, believe, 7, right, sdf, 001, 2022-04-06_18h03.24.340, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.006999999999998, 1, 0, 80, 33, 1, 79, becone, 6, left, sdf, 001, 2022-04-06_18h03.24.340, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.9110000000000014, 1, 0, 80, 41, 1, 79, pregram, 7, left, sdf, 001, 2022-04-06_18h03.24.340, lexical_decision_task, 3.0.0b12, 60
