key_resp_1.keys, key_resp_1.rt, response.keys, response.corr, response.rt, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, trials.ran, trials.order, words, number_of_letters, corrAns, participant, session, date, expName, psychopyVersion, frameRate
space, 10.911999999999999, right, 0, 3.054999999999996, 1, 0, 80, 33, 1, 79, becone, 6, left, skd, 001, 2022-10-06_17h47.47.467, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.040999999999997, 1, 0, 80, 55, 1, 79, quesdion, 8, left, skd, 001, 2022-10-06_17h47.47.467, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.431999999999995, 1, 0, 80, 23, 1, 79, aboot, 5, left, skd, 001, 2022-10-06_17h47.47.467, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.2240000000000038, 1, 0, 80, 48, 1, 79, believe, 7, right, skd, 001, 2022-10-06_17h47.47.467, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.783999999999999, 1, 0, 80, 71, 1, 79, eferything, 10, left, skd, 001, 2022-10-06_17h47.47.467, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.6430000000000007, 1, 0, 80, 38, 1, 79, system, 6, right, skd, 001, 2022-10-06_17h47.47.467, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.6469999999999985, 1, 0, 80, 46, 1, 79, company, 7, right, skd, 001, 2022-10-06_17h47.47.467, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.5970000000000013, 1, 0, 80, 32, 1, 79, become, 6, right, skd, 001, 2022-10-06_17h47.47.467, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.9299999999999997, 1, 0, 80, 7, 1, 79, fot, 3, left, skd, 001, 2022-10-06_17h47.47.467, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.796999999999997, 1, 0, 80, 44, 1, 79, between, 7, right, skd, 001, 2022-10-06_17h47.47.467, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.413000000000004, 1, 0, 80, 61, 1, 79, bifferent, 9, left, skd, 001, 2022-10-06_17h47.47.467, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.280000000000001, 1, 0, 80, 14, 1, 79, play, 4, right, skd, 001, 2022-10-06_17h47.47.467, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.9789999999999992, 1, 0, 80, 34, 1, 79, factor, 6, right, skd, 001, 2022-10-06_17h47.47.467, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.9790000000000063, 1, 0, 80, 63, 1, 79, importent, 9, left, skd, 001, 2022-10-06_17h47.47.467, lexical_decision_task, 3.0.0b12, 60
