key_resp_1.keys, key_resp_1.rt, response.keys, response.corr, response.rt, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, trials.ran, trials.order, words, number_of_letters, corrAns, participant, session, date, expName, psychopyVersion, frameRate
space, 11.524000000000001, left, 1, 4.027000000000001, 1, 0, 80, 17, 1, 79, heur, 4, left, vr, 001, 2022-10-13_16h45.39.504, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.279, 1, 0, 80, 44, 1, 79, between, 7, right, vr, 001, 2022-10-13_16h45.39.504, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.814, 1, 0, 80, 40, 1, 79, program, 7, right, vr, 001, 2022-10-13_16h45.39.504, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.6639999999999944, 1, 0, 80, 76, 1, 79, technology, 10, right, vr, 001, 2022-10-13_16h45.39.504, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.8320000000000007, 1, 0, 80, 25, 1, 79, thenk, 5, left, vr, 001, 2022-10-13_16h45.39.504, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.7299999999999969, 1, 0, 80, 2, 1, 79, and, 3, right, vr, 001, 2022-10-13_16h45.39.504, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.0450000000000017, 1, 0, 80, 11, 1, 79, wunt, 4, left, vr, 001, 2022-10-13_16h45.39.504, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.2789999999999964, 1, 0, 80, 29, 1, 79, courd, 5, left, vr, 001, 2022-10-13_16h45.39.504, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.6649999999999991, 1, 0, 80, 0, 1, 79, way, 3, right, vr, 001, 2022-10-13_16h45.39.504, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.029999999999994, 1, 0, 80, 3, 1, 79, anf, 3, left, vr, 001, 2022-10-13_16h45.39.504, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.581000000000003, 1, 0, 80, 50, 1, 79, business, 8, right, vr, 001, 2022-10-13_16h45.39.504, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.0150000000000006, 1, 0, 80, 9, 1, 79, ous, 3, left, vr, 001, 2022-10-13_16h45.39.504, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.7149999999999963, 1, 0, 80, 14, 1, 79, play, 4, right, vr, 001, 2022-10-13_16h45.39.504, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.796999999999997, 1, 0, 80, 6, 1, 79, for, 3, right, vr, 001, 2022-10-13_16h45.39.504, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.615000000000002, 1, 0, 80, 72, 1, 79, experience, 10, right, vr, 001, 2022-10-13_16h45.39.504, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.4979999999999976, 1, 0, 80, 52, 1, 79, remember, 8, right, vr, 001, 2022-10-13_16h45.39.504, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.5319999999999965, 1, 0, 80, 12, 1, 79, much, 4, right, vr, 001, 2022-10-13_16h45.39.504, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.6970000000000027, 1, 0, 80, 7, 1, 79, fot, 3, left, vr, 001, 2022-10-13_16h45.39.504, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.8149999999999977, 1, 0, 80, 15, 1, 79, ptay, 4, left, vr, 001, 2022-10-13_16h45.39.504, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.7809999999999988, 1, 0, 80, 79, 1, 79, bopulation, 10, left, vr, 001, 2022-10-13_16h45.39.504, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.6809999999999974, 1, 0, 80, 59, 1, 79, pesearch, 8, left, vr, 001, 2022-10-13_16h45.39.504, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.9479999999999933, 1, 0, 80, 33, 1, 79, becone, 6, left, vr, 001, 2022-10-13_16h45.39.504, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.5489999999999924, 1, 0, 80, 39, 1, 79, sistem, 6, left, vr, 001, 2022-10-13_16h45.39.504, lexical_decision_task, 3.0.0b12, 60
