key_resp_1.keys, key_resp_1.rt, response.keys, response.corr, response.rt, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, trials.ran, trials.order, words, number_of_letters, corrAns, participant, session, date, expName, psychopyVersion, frameRate
space, 10.442, right, 1, 3.605999999999998, 1, 0, 80, 2, 1, 79, and, 3, right, y, 001, 2021-06-03_00h33.13.936, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 4.251999999999999, 1, 0, 80, 9, 1, 79, ous, 3, left, y, 001, 2021-06-03_00h33.13.936, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.8490000000000002, 1, 0, 80, 66, 1, 79, community, 9, right, y, 001, 2021-06-03_00h33.13.936, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.868000000000002, 1, 0, 80, 5, 1, 79, neu, 3, left, y, 001, 2021-06-03_00h33.13.936, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.0199999999999996, 1, 0, 80, 61, 1, 79, bifferent, 9, left, y, 001, 2021-06-03_00h33.13.936, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.6979999999999968, 1, 0, 80, 38, 1, 79, system, 6, right, y, 001, 2021-06-03_00h33.13.936, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.7319999999999993, 1, 0, 80, 7, 1, 79, fot, 3, left, y, 001, 2021-06-03_00h33.13.936, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.0009999999999977, 1, 0, 80, 77, 1, 79, tochnology, 10, left, y, 001, 2021-06-03_00h33.13.936, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.465999999999994, 1, 0, 80, 64, 1, 79, political, 9, right, y, 001, 2021-06-03_00h33.13.936, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.0030000000000001, 1, 0, 80, 68, 1, 79, including, 9, right, y, 001, 2021-06-03_00h33.13.936, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.8290000000000006, 1, 0, 80, 36, 1, 79, decade, 6, right, y, 001, 2021-06-03_00h33.13.936, lexical_decision_task, 3.0.0b12, 60
